EMeV	DATA	LABEL	REF
0.492	29.74	A	Gs98
0.508	31.2	A	
0.517	33.18	A	
0.711	40.14	A	
0.712	39.26	A	
0.993	45.76	A	
1.013	46.52	A	
1.028	47.63	A	
1.324	50.94	A	
1.347	50.62	A	
1.367	50.59	A	
2.385	58.45	A	
2.388	59.21	A	
3.412	63.35	A	
3.572	62.32	A	
4.767	60.59	A	
5.695	64.05	A	
5.732	65.38	A	
5.86	61.43	A	
7.086	63.24	A	
7.098	67.34	A	
7.73	64.89	A	
