0.599	67.6	A	Gs82b	 3.2%
0.766	71	A	--	--
0.967	75.4	A	--	--
1.22	76.4	A	--	--
2.52	83	A	--	--
3.04	84	A	--	--
4.06	85.4	A	--	--
5.06	86.3	A	--	--
6.03	86.8	A	--	--
7.08	86.6	A	--	--
7.56	86.3	A	--	--
9.08	86	A	--	--
10.1	85.2	A	--	--
1.4	77.73	B	Gs83a	5%
22.94	60	C	Bi96	3.3-5.5%
22.46	59	C	--	--
22.03	60	C	--	--
0.629	65.23	D	Gs98	5%
0.716	69.11	D		
0.828	72.27	D		
0.958	74.41	D		
1.079	75.15	D		
1.201	75.6	D		
1.343	74.5	D		
2.669	85.35	D		
2.898	84.81	D		
3.128	83.62	D		
3.39	83.07	D		
2.464	82.93	D		
2.609	84.48	D		
2.772	84.51	D		
2.953	83.58	D		
3.12	83.56	D		
3.272	82.9	D		
5.03	89.56	D		
5.204	88.73	D		
5.347	87.49	D		
5.478	87.47	D		
5.626	84.14	D		
5.796	88.7	D		
5.152	87.75	D		
5.298	87.31	D		
5.453	86.31	D		
5.574	86.25	D		
5.678	85.23	D		
5.777	86.33	D		
6.82	87.11	D		
6.965	87.21	D		
7.118	87.53	D		
7.259	86.53	D		
7.417	84.64	D		
7.582	85.31	D		
7.698	84.6	D		
7.809	84.97	D		
9.077	86.82	D		
9.226	87.95	D		
9.358	85.07	D		
9.501	84.18	D		
9.683	86	D		
9.908	85.73	D		
