EMeV	DATA	LABEL	REF
0.502	35.13	A	Gs98
0.526	37.39	A	
0.705	42.25	A	
0.722	42.84	A	
1.02	50.65	A	
1.026	49.04	A	
1.358	54.49	A	
1.361	54.85	A	
2.38	62.42	A	
2.382	63.72	A	
3.362	69.25	A	
3.452	65.65	A	
3.558	70.54	A	
3.563	70.36	A	
4.759	68.15	A	
5.671	74.26	A	
5.693	68.77	A	
5.825	69.06	A	
5.851	69.1	A	
7.079	70	A	
7.086	78.28	A	
7.724	71.39	A	
9.956	79.04	A	
10.005	78.25	A	
