EMeV	DATA	LABEL	REF
4.92	43	A	Bi80
0.495	19.9	B	Gs98
0.505	21.13	B	
0.505	21.65	B	
0.695	26.31	B	
0.708	26.06	B	
0.709	26.83	B	
0.992	31.99	B	
0.996	31.79	B	
1.024	33.76	B	
1.322	36.18	B	
1.328	35.52	B	
1.361	37.91	B	
2.392	43.73	B	
2.394	40.76	B	
2.395	43.08	B	
3.432	44.95	B	
3.508	45.87	B	
3.573	47.23	B	
3.578	47.61	B	
4.772	46.75	B	
5.681	48.19	B	
5.826	50.31	B	
5.84	45.48	B	
5.874	46.78	B	
7.093	47.46	B	
7.791	50.32	B	
10.011	54.64	B	
