EMeV	DATA	LABEL	REF
4.82	84	A	Bi80
3.52	81	A	
0.503	34.59	B	Gs98
0.504	34.35	B	
0.507	35.4	B	
0.689	40.82	B	
0.695	41.9	B	
0.706	42.76	B	
0.707	43.25	B	
0.724	45.41	B	
0.945	51.37	B	
0.967	53.65	B	
0.968	53.24	B	
0.992	51.43	B	
1.016	53.85	B	
1.021	53.92	B	
1.312	58.72	B	
1.321	59.28	B	
1.338	58.77	B	
1.339	59.11	B	
1.349	61.53	B	
1.357	61.83	B	
2.373	75.9	B	
2.374	75.19	B	
3.558	84.5	B	
4.666	80.61	B	
4.759	79.41	B	
5.844	83.72	B	
5.853	81.99	B	
6.994	87.77	B	
9.883	86.74	B	
9.943	85.49	B	
