ENERGY	scs	label	ref
MeV/amu			
0.00906	31.723	A	An78
0.01112	36.046	A	
0.01448	44.255	A	
0.01723	48.17	A	
0.02008	53.825	A	
0.02315	59.633	A	
0.02377	60.134	A	
0.02453	61.165	A	
0.02641	62.725	A	
0.02726	64.916	A	
0.02799	66.032	A	
0.03313	75.716	A	
0.04091	85.287	A	
0.04843	96.951	A	
0.05884	105.5	A	
0.06749	114.88	A	
