   0.09828   2.15599	A
   0.11001   2.27724	A
   0.12300   2.35294	A
   0.13805   2.42730	A
   0.15483   2.49726	A
   0.17305   2.56647	A
   0.19395   2.57103	A
   0.21675   2.61027	A
   0.24298   2.60673	A
   0.27292   2.61332	A
   0.30503   2.60623	A
   0.34191   2.57832	A
   0.38324   2.48711	A
   0.42884   2.42118	A
   0.47988   2.36718	A
   0.53790   2.25765	A
   0.60225   2.19418	A
   0.67479   2.10813	A
   0.75610   2.03316	A
   0.84626   1.91440	A
   0.94790   1.81122	A
   1.06193   1.72690	A
   1.18919   1.53034	A
   1.33230   1.31702	A
   1.49226   1.56060	A
   1.67113   1.26700	A
   1.87116   1.13537	A
   1.90237   1.14816	A
