    0.1004    0.8327	A
    0.1417    0.9438	A
    0.2043    1.0405	A
    0.2981    1.0717	A
    0.3877    1.0549	A
    0.4797    1.0309	A
    0.5697    0.9737	A
    0.6570    0.9422	A
    0.7374    0.9033	A
    0.8107    0.8642	A
    0.9123    0.8182	A
    1.0161    0.7944	A
    1.1365    0.7452	A
    1.2403    0.7140	A
    1.3369    0.7010	A
    1.4197    0.6585	A
    1.5232    0.6640	A
    1.6177    0.6143	A
    1.7279    0.6604	A
    1.7945    0.5845	A
    1.8772    0.5492	A
