Impact energy	Stopping cross section	label
MeV/nucleon	MeV cm\+(2)/mg	
0.3342	20.48	A
0.3600	20.91	A
0.3848	21.47	A
0.4074	22.22	A
0.4374	22.26	A
0.4652	22.52	A
0.4919	22.70	A
0.5529	23.00	A
0.5855	22.82	A
0.6139	23.00	A
0.6452	22.93	A
0.6774	22.70	A
0.7074	22.65	A
0.7342	22.95	A
0.07600	10.04	B
0.08900	11.43	B
0.1040	12.32	B
0.1180	13.55	B
0.1300	14.81	B
0.1450	15.48	B
0.1600	16.06	B
0.1750	16.53	B
