EkeV	data	label	ref
28.103	19.4955	A	An68a
37.15	23.941	A	An68a
49.261	26.4454	A	An68a
56.849	28.9857	A	An68a
67.209	30.2022	A	An68a
77.57	31.2934	A	An68a
87.93	31.3202	A	An68a
96.977	31.9106	A	An68a
107.337	32.2505	A	An68a
126.744	32.5456	A	An68a
148.194	31.9374	A	An68a
176.211	30.3632	A	An68a
205.54	28.0197	A	An68a
235.892	26.4902	A	An68a
264.929	25.381	A	An68a
296.01	23.0197	A	
345.768	19.7818	A	Go67a
161.494	28.1007	B	Go67a
181.595	27.121	B	Go67a
201.962	26.4808	B	Go67a
221.408	25.2485	B	Go67a
240.868	24.6547	B	Go67a
261.474	23.0343	B	Go67a
277.161	22.0734	B	Go67a
301.41	20.8206	B	Go67a
321.648	20.2235	B	Go67a
342.133	18.9868	B	Go67a
80	28.3	C	Go67a
100	29.4	C	Go67a
200	25.6	C	Go67a
300	21.1	C	Go67a
300	21.3	C	Go67a
400	18	C	Go67a
400	18.6	C	Go67a
600	14.8	C	Go67a
800	12.75	C	Go67a
1000	11	C	Go67a
559.2	17.7	D	Go67a
1776.1	8.33	D	Go67a
1984.1	7.84	D	Go67a
200	29.9	E	Go67a
300	25.3	E	Go67a
400	24.1	E	Go67a
500	18.5	E	Go67a
600	16.6	E	Go67a
2250	7.0819	F	Go67a
2500	6.599	F	
2750	6.1862	F	Bd56a
3000	5.8285	F	Bd56a
3250	5.5163	F	Bd56a
3500	5.2381	F	Bd56a
3750	4.9936	F	Bd56a
4000	4.7737	F	
4250	4.575	F	
4500	4.394	F	
4750	4.229	F	
5000	4.0776	F	
5250	3.9381	F	
5500	3.8087	F	
5750	3.6886	F	
6000	3.5769	F	
6500	3.3748	F	
7000	3.1971	F	
7500	3.039	F	
8000	2.8977	F	
8500	2.77	F	
9000	2.655	F	
9500	2.5501	F	
10000	2.4537	F	
10500	2.3657	F	
11000	2.2845	F	
11500	2.2092	F	
12000	2.1399	F	
53.089	26.7962	G	
69.254	28.1322	G	
77.833	28.2324	G	
86.519	28.7222	G	
97.301	28.5641	G	
117.694	28.3862	G	
129.86	27.9586	G	
155.69	26.6699	G	
167.844	26.5993	G	
174.052	26.3853	G	
195.889	24.965	G	
196.554	25.0972	G	
218.309	24.6838	G	
218.692	24.6302	G	
238.203	23.369	G	
269.612	22.7972	G	
292.116	21.8418	G	
339.046	20.4124	G	
387.254	19.1981	G	
439.252	17.9809	G	
484.148	17.1762	G	
542.004	16.1201	G	
579.911	15.3902	G	
643.774	14.4693	G	
656.867	14.3279	G	
657.155	14.1244	G	
725.945	13.4833	G	
726.043	13.2943	G	
6500	3.3477	H	
6497	3.357	I	
53.817	26.5234	J	Mor18_JKU
65.3902	27.4084	J	--
76.0876	28.2256	J	--
87.2615	28.4289	J	--
129.728	27.9474	J	--
178.133	26.3751	J	--
224.33	25.0083	J	--
284.506	22.1404	J	--
419.756	18.043	J	--
467.678	17.5644	J	--
563.952	14.9699	J	--
606.105	14.7645	J	--
1812.16	7.58998	K	Mor18_UU
1961.71	7.45274	K	--
2265.83	6.6326	K	--
2470.56	6.42707	K	--
532.41	16.1304	I	Mor18_USP
715.369	13.876	I	
900.846	12.0316	I	
1118.22	10.5967	I	
1348.62	9.36678	I	
1569	8.81947	I	
1799.15	7.65828	I	
