EkeV			Ref	error
24.983	20.56828	A	Kt83a	error 15%
35.436	22.58185	A		
51.116	27.17660	A		
71.779	29.46718	A		
91.348	30.91993	A		
111.16	33.69712	A		
130.729	33.75113	A		
150.906	34.22414	A		
170.354	34.60926	A		
210.343	35.00798	A		
230.276	34.05525	A		
260.055	31.72405	A	Kt83b	error 15%
288.619	30.91993	A		
319.249	29.94700	A		
344.652	28.57525	A		
53.96	26.60589	B		
72.67	29.65228	B		
112.931	33.55440	B		
151.9	34.65605	B		
175.356	34.67794	B		
212.832	34.88916	B		
233.466	34.30715	B		
322.012	30.02830	B		
349.365	28.74916	B		
