200.00	17.500	A		
300.00	14.700	A		
400.00	12.500	A		
500.00	11.500	A		
600.00	10.800	A		
0.35500	2.8012	B		
0.90600	5.5991	B		
3.1830	9.4376	B		
5.3400	11.803	B		
9.0170	16.232	B		
13.097	18.870	B		
14.958	18.618	B		
17.058	20.619	B		
21.013	21.098	B		
24.831	22.912	B		
68.991	20.836	C		
113.59	19.650	C		
197.85	16.935	C		
241.81	15.296	C		
283.82	14.494	C		
37.368	20.527	D		
55.115	21.967	D		
72.345	21.865	D		
94.241	20.724	D		
116.63	18.939	D		
138.57	18.658	D		
16.670	16.300	E		
48.330	19.800	E		
78.330	20.300	E		
150.33	17.900	E		
176.00	18.200	E		
177.00	17.200	E		
233.33	15.900	E		
317.33	14.000	E		
368.33	13.000	E		
417.67	12.300	E		
502.67	11.600	E		
546.67	11.000	E		
587.00	10.900	E		
641.33	10.100	E		
716.33	9.7000	E		
749.67	9.6000	E		
784.00	9.2000	E		
840.00	8.8000	E		
899.33	8.5000	E		
12.074	13.006	F		
13.573	13.870	F		
15.581	14.596	F		
17.556	15.134	F		
19.643	15.952	F		
21.688	16.760	F		
25.418	17.599	F		
26.920	18.035	F		
29.679	18.524	F		
33.015	19.215	F		
38.004	19.842	F		
43.147	20.249	F		
54.085	20.927	F		
60.372	21.235	F		
5.6700	9.6103	G		
6.6730	10.154	G		
7.7230	10.891	G		
9.1730	11.844	G		
10.555	12.496	G		
12.343	13.397	G		
14.545	14.111	G		
17.075	14.945	G		
19.141	15.705	G		
22.410	16.879	G		
24.750	17.433	G		
29.040	18.339	G		
2.0530	12.015	H		
5.0820	12.983	H		
9.7830	14.296	H		
19.087	15.787	H		
25.169	16.982	H		
5.1500	9.4073	I		
16.739	13.092	J		
19.380	15.332	J		
24.957	17.998	J		
32.601	19.132	J		
51.013	21.409	J		
72.470	21.439	J		
92.543	20.191	J		
112.70	19.208	J		
127.47	18.308	J		
12.468	10.643	K		
17.548	12.467	K		
21.290	13.657	K		
25.644	15.007	K		
30.446	16.882	K		
34.542	17.677	K		
3.0010	6.6603	L		
3.2240	7.5874	L		
4.4350	9.4295	L		
6.9830	11.738	L		
10.362	13.656	L		
16.602	16.109	L		
25.246	18.789	L		
38.755	21.106	L		
55.841	23.171	L		
992.00	7.6602	M		
3.0410	6.9486	N		
4.8040	8.9456	N		
6.9030	12.230	N		
10.324	13.869	N		
16.227	15.841	N		
50.000	18.904	O		
75.000	19.666	O		
100.00	18.635	O		
150.00	16.396	O		
200.00	14.940	O		
250.00	14.089	O		
300.00	13.305	O		
350.00	12.677	O		
400.00	12.140	O		
450.00	11.647	O		
500.00	11.199	O		
550.00	10.796	O		
600.00	10.438	O		
650.00	10.012	O		
700.00	9.7209	O		
750.00	9.4073	O		
800.00	9.0713	O		
850.00	8.7801	O		
900.00	8.4890	O		
950.00	8.1978	O		
1000.0	7.9290	O		
1050.0	7.6602	O		
1100.0	7.4586	O		
1150.0	7.2571	O		
1200.0	7.0555	O		
1250.0	6.8987	O		
1300.0	6.7419	O		
1350.0	6.5627	O		
44.666	18.545	P		
54.971	19.378	P		
76.179	19.665	P		
89.467	19.502	P		
97.552	18.677	P		
128.19	17.125	P		
130.73	17.225	P		
171.90	16.152	P		
175.34	15.700	P		
206.76	15.062	P		
257.07	13.492	P		
296.95	13.169	P		
306.21	13.328	P		
321.65	13.212	P		
354.95	12.422	P		
59.500	22.900	Q		
61.300	22.520	Q		
78.800	21.830	Q		
82.100	21.310	Q		
147.10	18.050	Q		
173.80	17.120	Q		
211.60	16.170	Q		
228.20	15.570	Q		
269.10	14.750	Q		
287.80	14.680	Q		
352.80	13.430	Q		
359.90	13.230	Q		
454.90	12.010	Q		
497.20	11.550	Q		
28.000	20.290	R		
29.400	20.360	R		
34.050	21.240	R		
36.100	21.670	R		
39.300	21.860	R		
44.400	22.210	R		
45.000	22.520	R		
50.500	22.720	R		
51.150	22.430	R		
58.000	22.260	R		
58.100	22.810	R		
63.000	22.580	R		
63.400	22.280	R		
71.300	22.220	R		
74.500	21.930	R		
84.400	21.310	R		
84.900	21.270	R		
95.600	20.740	R		
96.900	20.570	R		
121.30	19.230	R		
123.50	19.080	R		
151.80	17.910	R		
152.15	17.750	R		
181.10	16.840	R		
181.30	17.040	R		
216.80	15.850	R		
219.90	15.960	R		
251.20	15.080	R		
251.25	15.000	R		
67.900	22.410	S		
70.900	22.400	S		
88.300	21.560	S		
114.60	19.840	S		
163.60	17.600	S		
213.20	16.310	S		
259.20	15.120	S		
304.20	14.290	S		
351.00	13.590	S		
401.10	12.790	S		
494.80	11.710	S		
496.50	11.570	S		
27.220	19.580	T		
30.780	20.360	T		
39.880	22.450	T		
48.490	22.950	T		
54.390	22.930	T		
63.250	22.830	T		
73.260	22.810	T		
85.570	21.960	T		
97.830	21.330	T		
117.24	19.980	T		
138.91	18.680	T		
160.68	17.930	T		
