    0.0483      8.69	A	Zha04b     4%
    0.0542      9.93	A
    0.0611     10.70	A
    0.0709     11.48	A
    0.0787     12.32	A
    0.0885     13.29	A
    0.0954     14.33	A
    0.1023     14.85	A
    0.1101     15.30	A
    0.1150     16.40	A
    0.1307     17.04	A
    0.1375     18.21	A
    0.1571     18.59	A
    0.1630     19.63	A
    0.1795     19.75	A
    0.1845     20.98	A
    0.1982     21.76	A
    0.2070     22.53	A
    0.2216     22.27	A
    0.2284     23.04	A
    0.2479     22.90	A
    0.2470     23.88	A
    0.2616     24.13	A
    0.2821     24.32	A
    0.2773     25.23	A
    0.2968     25.48	A
    0.3085     26.12	A
    0.3143     25.60	A
    0.3251     26.96	A
    0.3368     26.82	A
    0.3437     27.80	A
