Energy			SCS		Label	
keV/u		
2.97324083250743	43.58145	A	Sor17
3.46878097125867	46.27645	A	--
3.96432111000991	50.32633	A	--
4.95540138751239	55.79281	A	--
5.45094152626363	57.50713	A	--
5.94648166501487	60.59156	A	--
6.93756194251734	66.57385	A	--
7.43310208126858	69.49973	A	--
7.92864222001982	70.56182	A	--
8.91972249752230	73.55387	A	--
9.91080277502478	76.85574	A	--
10.9018830525273	77.75682	A	--
11.8929633300297	87.17398	A	--
12.8840436075322	92.28009	A	--
13.8751238850347	94.17028	A	--
14.8662041625372	100.44062	A	
15.8572844400396	103.3062	A	
