0.0168	0.3900	A
0.0251	0.4950	A
0.00565	0.1682	B
0.00810	0.2507	B
0.0112	0.3149	B
0.0147	0.3638	B
0.0186	0.4280	B
0.0236	0.4953	B
0.0285	0.5351	B
0.00370	0.06894	C
0.00402	0.1468	C
0.00580	0.1641	C
0.00655	0.1671	C
0.00814	0.2180	C
0.00910	0.1959	C
0.0104	0.2684	C
0.0115	0.2278	C
0.0128	0.3275	C
0.0138	0.3210	C
0.0149	0.3998	C
0.0159	0.4273	C
0.0169	0.4480	C
0.0182	0.5070	C
0.0193	0.5630	C
0.0206	0.5846	C
0.0212	0.6556	C
0.0231	0.6872	C
0.0831	0.9242	D
0.0936	1.325	D
0.154	1.135	D
0.0708	0.9567	E
0.00500	0.2880	F
0.00900	0.3990	F
0.00450	0.2720	F
0.00550	0.3070	F
0.00400	0.2590	F
0.00700	0.3540	F
0.00800	0.3720	F
0.00600	0.3260	F
