PSTAR: Stopping Powers and Range Tables for Protons

LITHIUM FLUORIDE                                                        

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
5.500E-01 2.927E+02 2.255E-01 2.930E+02 1.412E-03 1.370E-03 0.9701 
6.000E-01 2.781E+02 2.090E-01 2.783E+02 1.588E-03 1.545E-03 0.9729 
6.500E-01 2.651E+02 1.949E-01 2.652E+02 1.772E-03 1.728E-03 0.9753 
7.000E-01 2.533E+02 1.827E-01 2.534E+02 1.965E-03 1.920E-03 0.9773 
7.500E-01 2.425E+02 1.720E-01 2.427E+02 2.166E-03 2.121E-03 0.9791 
8.000E-01 2.328E+02 1.625E-01 2.329E+02 2.377E-03 2.330E-03 0.9806 
8.500E-01 2.239E+02 1.540E-01 2.240E+02 2.596E-03 2.549E-03 0.9819 
9.000E-01 2.156E+02 1.464E-01 2.158E+02 2.823E-03 2.775E-03 0.9831 
9.500E-01 2.082E+02 1.396E-01 2.083E+02 3.059E-03 3.010E-03 0.9841 
1.000E+00 2.012E+02 1.334E-01 2.014E+02 3.303E-03 3.254E-03 0.9850 
1.250E+00 1.731E+02 1.094E-01 1.732E+02 4.646E-03 4.592E-03 0.9884 
1.500E+00 1.525E+02 9.290E-02 1.526E+02 6.187E-03 6.129E-03 0.9905 
1.750E+00 1.368E+02 8.089E-02 1.369E+02 7.920E-03 7.856E-03 0.9919 
2.000E+00 1.244E+02 7.172E-02 1.244E+02 9.838E-03 9.769E-03 0.9930 
2.250E+00 1.142E+02 6.448E-02 1.142E+02 1.194E-02 1.186E-02 0.9937 
2.500E+00 1.057E+02 5.861E-02 1.058E+02 1.421E-02 1.413E-02 0.9943 
2.750E+00 9.853E+01 5.375E-02 9.859E+01 1.666E-02 1.658E-02 0.9948 
3.000E+00 9.238E+01 4.966E-02 9.243E+01 1.928E-02 1.919E-02 0.9951 
3.500E+00 8.233E+01 4.315E-02 8.237E+01 2.503E-02 2.492E-02 0.9957 
4.000E+00 7.443E+01 3.819E-02 7.447E+01 3.142E-02 3.130E-02 0.9961 
4.500E+00 6.804E+01 3.428E-02 6.807E+01 3.845E-02 3.831E-02 0.9963 
5.000E+00 6.276E+01 3.112E-02 6.279E+01 4.611E-02 4.595E-02 0.9966 
5.500E+00 5.831E+01 2.850E-02 5.834E+01 5.437E-02 5.420E-02 0.9967 
6.000E+00 5.451E+01 2.630E-02 5.453E+01 6.324E-02 6.305E-02 0.9969 
6.500E+00 5.122E+01 2.443E-02 5.124E+01 7.271E-02 7.249E-02 0.9970 
7.000E+00 4.834E+01 2.281E-02 4.836E+01 8.276E-02 8.252E-02 0.9971 
7.500E+00 4.579E+01 2.140E-02 4.581E+01 9.338E-02 9.312E-02 0.9972 
8.000E+00 4.352E+01 2.016E-02 4.354E+01 1.046E-01 1.043E-01 0.9973 
8.500E+00 4.149E+01 1.905E-02 4.151E+01 1.163E-01 1.160E-01 0.9973 
9.000E+00 3.966E+01 1.807E-02 3.967E+01 1.287E-01 1.283E-01 0.9974 
9.500E+00 3.799E+01 1.718E-02 3.801E+01 1.416E-01 1.412E-01 0.9974 
1.000E+01 3.648E+01 1.638E-02 3.649E+01 1.550E-01 1.546E-01 0.9975 
1.250E+01 3.053E+01 1.330E-02 3.054E+01 2.302E-01 2.297E-01 0.9977 
1.500E+01 2.638E+01 1.121E-02 2.639E+01 3.185E-01 3.178E-01 0.9978 
1.750E+01 2.330E+01 9.706E-03 2.331E+01 4.196E-01 4.187E-01 0.9979 
2.000E+01 2.093E+01 8.561E-03 2.093E+01 5.329E-01 5.318E-01 0.9979 
2.500E+01 1.748E+01 6.939E-03 1.749E+01 7.955E-01 7.939E-01 0.9980 
2.750E+01 1.619E+01 6.343E-03 1.620E+01 9.441E-01 9.423E-01 0.9980 
3.000E+01 1.510E+01 5.843E-03 1.510E+01 1.104E+00 1.102E+00 0.9981 
3.500E+01 1.334E+01 5.051E-03 1.334E+01 1.457E+00 1.454E+00 0.9981 
4.000E+01 1.199E+01 4.452E-03 1.199E+01 1.853E+00 1.850E+00 0.9982 
4.500E+01 1.092E+01 3.983E-03 1.092E+01 2.290E+00 2.286E+00 0.9982 
5.000E+01 1.004E+01 3.604E-03 1.005E+01 2.768E+00 2.763E+00 0.9982 
5.500E+01 9.317E+00 3.293E-03 9.320E+00 3.285E+00 3.280E+00 0.9983 
6.000E+01 8.704E+00 3.032E-03 8.707E+00 3.841E+00 3.834E+00 0.9983 
6.500E+01 8.178E+00 2.811E-03 8.181E+00 4.434E+00 4.426E+00 0.9983 
7.000E+01 7.723E+00 2.620E-03 7.725E+00 5.063E+00 5.055E+00 0.9983 
7.500E+01 7.324E+00 2.454E-03 7.327E+00 5.728E+00 5.718E+00 0.9984 
8.000E+01 6.972E+00 2.308E-03 6.975E+00 6.428E+00 6.417E+00 0.9984 
8.500E+01 6.659E+00 2.179E-03 6.661E+00 7.161E+00 7.150E+00 0.9984 
9.000E+01 6.379E+00 2.064E-03 6.381E+00 7.929E+00 7.916E+00 0.9984 
9.500E+01 6.126E+00 1.960E-03 6.128E+00 8.728E+00 8.715E+00 0.9984 
1.000E+02 5.897E+00 1.867E-03 5.899E+00 9.560E+00 9.545E+00 0.9984 
1.250E+02 5.013E+00 1.510E-03 5.015E+00 1.418E+01 1.416E+01 0.9985 
1.500E+02 4.411E+00 1.270E-03 4.412E+00 1.951E+01 1.948E+01 0.9985 
1.750E+02 3.974E+00 1.097E-03 3.975E+00 2.549E+01 2.545E+01 0.9986 
2.000E+02 3.642E+00 9.661E-04 3.643E+00 3.207E+01 3.203E+01 0.9986 
2.250E+02 3.382E+00 8.637E-04 3.383E+00 3.920E+01 3.915E+01 0.9986 
2.500E+02 3.173E+00 7.814E-04 3.174E+00 4.684E+01 4.677E+01 0.9987 
2.750E+02 3.001E+00 7.137E-04 3.002E+00 5.494E+01 5.487E+01 0.9987 
3.000E+02 2.858E+00 6.571E-04 2.858E+00 6.348E+01 6.340E+01 0.9987 
3.500E+02 2.632E+00 5.675E-04 2.633E+00 8.174E+01 8.164E+01 0.9988 
4.000E+02 2.463E+00 4.999E-04 2.464E+00 1.014E+02 1.013E+02 0.9988 
4.500E+02 2.332E+00 4.470E-04 2.333E+00 1.223E+02 1.221E+02 0.9988 
5.000E+02 2.228E+00 4.045E-04 2.229E+00 1.442E+02 1.441E+02 0.9989 
5.500E+02 2.144E+00 3.695E-04 2.144E+00 1.671E+02 1.669E+02 0.9989 
6.000E+02 2.075E+00 3.403E-04 2.075E+00 1.908E+02 1.906E+02 0.9989 
6.500E+02 2.017E+00 3.154E-04 2.017E+00 2.153E+02 2.150E+02 0.9989 
7.000E+02 1.968E+00 2.940E-04 1.968E+00 2.404E+02 2.401E+02 0.9990 
7.500E+02 1.927E+00 2.754E-04 1.927E+00 2.660E+02 2.658E+02 0.9990 
8.000E+02 1.891E+00 2.591E-04 1.891E+00 2.922E+02 2.920E+02 0.9990 
8.500E+02 1.860E+00 2.446E-04 1.860E+00 3.189E+02 3.186E+02 0.9990 
9.000E+02 1.833E+00 2.318E-04 1.833E+00 3.460E+02 3.457E+02 0.9991 
9.500E+02 1.810E+00 2.202E-04 1.810E+00 3.734E+02 3.731E+02 0.9991 
1.000E+03 1.789E+00 2.098E-04 1.789E+00 4.012E+02 4.009E+02 0.9991 
1.500E+03 1.674E+00 1.431E-04 1.675E+00 6.918E+02 6.912E+02 0.9992 
2.000E+03 1.635E+00 1.091E-04 1.635E+00 9.945E+02 9.939E+02 0.9993 
2.500E+03 1.622E+00 8.845E-05 1.622E+00 1.302E+03 1.301E+03 0.9994 
3.000E+03 1.621E+00 7.453E-05 1.621E+00 1.610E+03 1.609E+03 0.9994 
4.000E+03 1.631E+00 5.690E-05 1.631E+00 2.226E+03 2.224E+03 0.9995 
5.000E+03 1.648E+00 4.616E-05 1.648E+00 2.836E+03 2.834E+03 0.9996 
6.000E+03 1.665E+00 3.892E-05 1.665E+00 3.439E+03 3.438E+03 0.9996 
7.000E+03 1.682E+00 3.369E-05 1.682E+00 4.037E+03 4.035E+03 0.9996 
8.000E+03 1.697E+00 2.973E-05 1.697E+00 4.629E+03 4.627E+03 0.9997 
9.000E+03 1.712E+00 2.663E-05 1.712E+00 5.215E+03 5.214E+03 0.9997 
1.000E+04 1.726E+00 2.413E-05 1.726E+00 5.797E+03 5.795E+03 0.9997 
