0.0885	7.7516	A	Gue16	Guesmia NIMB 371 (2016) 69-75	
0.1116	8.947	A	--	--	
0.1332	9.8099	A	--	--	
0.1547	10.44	A	--	--	
0.1748	11.07	A	--	--	
0.1948	11.634	A	--	--	
0.2164	12.165	A	--	--	
0.2323	12.695	A	--	--	
0.2508	12.927	A	--	--	
0.3042	13.92	A	--	--	
0.3221	14.152	A	--	--	
0.3391	14.317	A	--	--	
0.3730	14.813	A	--	--	
0.127	11.136	B	TEC13	IAEA TECDOC 92013)	
0.136	11.038	B			
0.148	11.808	B			
0.159	11.89	B			
0.171	11.864	B			
0.184	12.771	B			
0.198	12.998	B			
0.213	13.555	B			
0.228	14.324	B			
0.241	13.956	B			
0.256	13.917	B			
0.274	14.124	B			
0.29	14.866	B			
0.299	14.916	B			
0.311	15.176	B			
0.04652	4.71	C	Ps04c			
0.04835	4.937	C			
0.05293	5.34	C			
0.05645	5.547	C			
0.06179	5.9078	C			
0.06591	6.0911	C			
0.07167	6.4757	C			
0.07694	6.836	C			
0.08421	7.287	C			
0.09217	7.696	C			
0.1009	8.125	C			
0.1111	8.645	C			
0.124	9.165	C			
0.1384	9.5258	C			
0.1505	9.9555	C			
0.1554	10.2049	D	Ps04c			
0.1585	10.406	D			
0.1626	10.6106	D			
0.1679	10.7699	D			
0.1735	11.0403	D			
0.178	11.2897	D			
0.1803	11.4460	D			
0.1911	11.5812	D			
0.1961	11.7856	D			
0.2051	11.9448	D			
0.2188	12.329	D			
0.2274	12.465	D			
0.2334	12.645	D			
0.2442	12.870	D			
0.2522	13.006	D			
0.2604	13.186	D			
0.2814	13.504	D			
0.2944	13.706	D			
0.306	13.910	D			
0.3222	14.090	D			
0.3415	14.250	D			
0.3572	14.679	D			
0.386	14.745	D			
0.4064	14.88	D			
0.4225	14.99	D			
0.442	15.199	D			
0.5029	15.4937	D			
0.5227	15.6289	D			
0.6222	15.899	D			
0.6723	15.740	D			
1.091	16.080	D			
1.126	16.1037	D			
1.186	15.9655	D			
1.265	15.830	D			
1.358	15.695	D			
1.439	15.584	D			
1.555	15.355	D			
1.68	15.109	D			
1.804	14.836	D			
1.949	14.499	D			
2.079	14.205	D			
2.203	13.910	D			
2.365	13.594	D			
2.523	13.231	D			
2.656	12.915	D			
2.815	12.55	D			
3.003	12.215	D			
3.142	11.9658	D			
3.287	11.695	D			
3.461	11.470	D			
3.597	11.196	D			
3.763	11.106	D			
3.963	10.8600	D			
4.227	10.541	D			
4.451	10.361	D			
4.597	10.20	D			
4.686	9.955	D			
4.871	9.775	D			
5.064	9.526	D			
5.298	9.276	D			
5.578	9.366	D			
5.687	9.165	D			
