0.01053	1.00	A	
0.01579	1.23	A	
0.02105	1.46	A	
0.02632	1.66	A	
0.03158	1.86	A	
0.03684	2.03	A	
0.04211	2.20	A	
0.04737	2.36	A	
0.05263	2.50	A	
0.05789	2.64	A	
0.06316	2.77	A	
0.06842	2.88	A	
0.07368	3.00	A	
0.07895	3.11	A	
0.08421	3.21	A	
0.08947	3.31	A	
0.09474	3.42	A	
0.10	3.52	A	
0.1053	3.63	A	
0.3041	4.69	B	
0.4008	5.00	B	
0.5003	5.29	B	
0.6458	5.60	B	
0.8558	5.73	B	
1.158	5.62	B	
1.502	5.27	B	
1.913	4.96	B	
2.413	4.64	B	
3.006	4.31	B	
3.666	3.95	B	
4.416	3.63	B	
1.00	6.36	C	
2.00	5.51	C	
3.00	4.80	C	
4.00	4.16	C	
5.00	3.65	C	
6.00	3.18	C	
7.00	2.90	C	
8.00	2.70	C	
9.00	2.53	C	
10.0	2.39	C	
0.0168	1.15	D	
0.0251	1.47	D	
0.3878	4.76291	E	
0.8982	6.03603	E	
1.624	5.60798	E	
1.00	5.74	F	
0.19628	4.64873	G	
0.20267	4.70051	G	
0.20843	4.75233	G	
0.2097	4.68286		
0.21354	4.7521	G	
0.22185	4.85586	G	
0.22313	4.95993		
0.22696	4.85564	G	
0.2308	4.9596	G	
0.23271	4.87275		
0.2372	5.04609	G	
0.24231	5.02851	G	
0.24614	5.01099		
0.2487	5.01088	G	
0.24934	5.09762	G	
0.25381	5.04537		
0.25956	5.07982	G	
0.26404	5.2011	G	
0.26979	5.20085		
0.26277	5.23587	G	
0.27427	5.21801	G	
0.27874	5.16576		
0.28386	5.32172	G	
0.29026	5.49498	G	
0.29089	5.33877	 	
0.29728	5.35584	G	
0.30112	5.4598	G	
0.30303	5.37295		
0.30943	5.5462	G	
0.31198	5.49403	G	
0.31454	5.47657		
0.31966	5.59782	G	
0.32541	5.59757	G	
0.32924	5.52799		
0.33116	5.64938	G	
0.33819	5.68378	G	
0.34138	5.59688		
0.34458	5.68351	G	
0.34778	5.68337	G	
0.35033	5.64855		
0.3548	5.64836	G	
0.3612	5.76955	G	
0.36823	5.80396		
0.36888	5.8907	G	
0.37335	5.83844	G	
0.37591	5.90774		
0.3791	5.85555	G	
0.3823	5.95953	G	
0.38421	5.85532		
0.38741	5.87254	G	
0.39828	6.02825	G	
0.39955	5.92407		
0.40211	5.99337	G	
0.40595	6.06262	G	
0.39572	6.06307		
0.40977	5.94098	G	
0.41745	6.04477	G	
0.42319	5.95775		
0.43023	6.06157	G	
0.43279	6.13087	G	
0.43662	6.14806		
0.43853	6.04385	G	
0.44429	6.14773	G	
0.44621	6.14764		
0.44684	6.04349	G	
0.4526	6.11266	G	
0.45516	6.28608		
0.45835	6.18182	G	
0.4641	6.19893	G	
0.4673	6.30291		
0.47113	6.16392	G	
0.47689	6.37191	G	
0.48072	6.30233		
0.48711	6.19793	G	
0.49798	6.45776	G	
0.49734	6.37102		
0.49926	6.47506	G	
0.50245	6.38815	G	
0.51204	6.38774		
0.51779	6.37013	G	
