0.42923077     29.92	A
0.44326923     29.46	A
0.44548077     29.22	A
0.52370192     31.69	A
0.54110577        32	A
0.54826923     33.04	A
0.56519231     34.71	A
      0.58     36.56	A
0.58269231     36.24	A
   0.64125     37.13	A
0.65745192     38.27	A
0.66033654     37.77	A
0.94543269     48.83	A
0.96697115     49.42	A
0.97052885     49.02	A
1.29567308     53.73	A
1.29980769      53.4	A
1.32274038     54.92	A
1.32658654     54.69	A
       2.5        70	A
         4        77	A
     193.3     20.64	B
	
