0.015	6.335	A	BA15
0.019	6.686	A	
0.024	7.137	A	
0.031	7.706	A	
0.04	8.41	A	
0.05	9.264	A	
0.064	10.284	A	
0.082	11.477	A	
0.104	12.845	A	
0.132	14.371	A	
0.168	16.03	A	
0.214	17.772	A	
0.273	19.525	A	
0.348	21.205	A	
0.442	22.707	A	
0.563	23.933	A	
0.017	5.018	B	BA15
0.028	6.209	B	
0.043	7.573	B	
0.088	11.024	B	
0.133	13.711	B	
0.177	15.915	B	
0.222	17.683	B	
0.267	19.11	B	
0.311	20.082	B	
0.992	23.306	C	BA15
0.998	23.314	C	
0.0555	9.34472		D	Miz13
0.06675	10.17272	D	
0.07396	10.64569	D	
0.1048	12.53846	D	
0.14851	14.9042		D	
0.19994	16.91492	D	
0.27195	19.04417	D	
0.36612	21.05489	D	
0.55743	23.30239	D	
