PSTAR: Stopping Powers and Range Tables for Protons

SILICON DIOXIDE                                                         

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

1.000E-03 8.564E+01 1.624E+01 1.019E+02 1.395E-05 3.684E-06 0.2641 
1.500E-03 1.049E+02 1.418E+01 1.191E+02 1.844E-05 5.586E-06 0.3028 
2.000E-03 1.211E+02 1.267E+01 1.338E+02 2.240E-05 7.499E-06 0.3348 
2.500E-03 1.354E+02 1.150E+01 1.469E+02 2.596E-05 9.392E-06 0.3618 
3.000E-03 1.483E+02 1.057E+01 1.589E+02 2.923E-05 1.126E-05 0.3852 
4.000E-03 1.713E+02 9.160E+00 1.804E+02 3.513E-05 1.490E-05 0.4242 
5.000E-03 1.915E+02 8.132E+00 1.996E+02 4.039E-05 1.841E-05 0.4558 
6.000E-03 2.098E+02 7.342E+00 2.171E+02 4.519E-05 2.179E-05 0.4823 
7.000E-03 2.266E+02 6.712E+00 2.333E+02 4.963E-05 2.506E-05 0.5049 
8.000E-03 2.422E+02 6.196E+00 2.484E+02 5.378E-05 2.821E-05 0.5246 
9.000E-03 2.569E+02 5.763E+00 2.627E+02 5.769E-05 3.127E-05 0.5420 
1.000E-02 2.708E+02 5.395E+00 2.762E+02 6.140E-05 3.423E-05 0.5575 
1.250E-02 2.981E+02 4.672E+00 3.028E+02 7.003E-05 4.133E-05 0.5901 
1.500E-02 3.220E+02 4.139E+00 3.261E+02 7.798E-05 4.808E-05 0.6166 
1.750E-02 3.431E+02 3.726E+00 3.469E+02 8.540E-05 5.453E-05 0.6386 
2.000E-02 3.621E+02 3.396E+00 3.655E+02 9.242E-05 6.074E-05 0.6572 
2.250E-02 3.793E+02 3.126E+00 3.824E+02 9.910E-05 6.674E-05 0.6734 
2.500E-02 3.949E+02 2.899E+00 3.978E+02 1.055E-04 7.255E-05 0.6876 
2.750E-02 4.091E+02 2.706E+00 4.118E+02 1.117E-04 7.820E-05 0.7002 
3.000E-02 4.221E+02 2.540E+00 4.246E+02 1.177E-04 8.371E-05 0.7114 
3.500E-02 4.448E+02 2.267E+00 4.471E+02 1.291E-04 9.438E-05 0.7309 
4.000E-02 4.638E+02 2.052E+00 4.659E+02 1.401E-04 1.047E-04 0.7472 
4.500E-02 4.797E+02 1.877E+00 4.815E+02 1.506E-04 1.146E-04 0.7611 
5.000E-02 4.928E+02 1.733E+00 4.945E+02 1.609E-04 1.244E-04 0.7733 
5.500E-02 5.036E+02 1.610E+00 5.052E+02 1.709E-04 1.340E-04 0.7840 
6.000E-02 5.123E+02 1.506E+00 5.138E+02 1.807E-04 1.434E-04 0.7936 
6.500E-02 5.192E+02 1.415E+00 5.206E+02 1.903E-04 1.527E-04 0.8022 
7.000E-02 5.245E+02 1.335E+00 5.259E+02 1.999E-04 1.619E-04 0.8100 
7.500E-02 5.285E+02 1.265E+00 5.298E+02 2.094E-04 1.711E-04 0.8172 
8.000E-02 5.312E+02 1.202E+00 5.324E+02 2.188E-04 1.802E-04 0.8238 
8.500E-02 5.329E+02 1.146E+00 5.341E+02 2.282E-04 1.893E-04 0.8299 
9.000E-02 5.337E+02 1.095E+00 5.348E+02 2.375E-04 1.984E-04 0.8355 
9.500E-02 5.336E+02 1.049E+00 5.347E+02 2.469E-04 2.076E-04 0.8408 
1.000E-01 5.329E+02 1.007E+00 5.339E+02 2.562E-04 2.167E-04 0.8458 
1.250E-01 5.219E+02 8.416E-01 5.227E+02 3.035E-04 2.630E-04 0.8665 
1.500E-01 5.039E+02 7.258E-01 5.046E+02 3.521E-04 3.108E-04 0.8826 
1.750E-01 4.835E+02 6.398E-01 4.841E+02 4.027E-04 3.606E-04 0.8954 
2.000E-01 4.628E+02 5.732E-01 4.634E+02 4.554E-04 4.126E-04 0.9060 
2.250E-01 4.429E+02 5.200E-01 4.434E+02 5.106E-04 4.671E-04 0.9149 
2.500E-01 4.242E+02 4.764E-01 4.246E+02 5.682E-04 5.241E-04 0.9224 
2.750E-01 4.067E+02 4.400E-01 4.072E+02 6.284E-04 5.836E-04 0.9288 
3.000E-01 3.906E+02 4.091E-01 3.910E+02 6.910E-04 6.457E-04 0.9344 
3.500E-01 3.589E+02 3.594E-01 3.592E+02 8.245E-04 7.780E-04 0.9436 
4.000E-01 3.308E+02 3.211E-01 3.311E+02 9.696E-04 9.219E-04 0.9508 
4.500E-01 3.076E+02 2.907E-01 3.079E+02 1.126E-03 1.077E-03 0.9566 
5.000E-01 2.889E+02 2.658E-01 2.892E+02 1.294E-03 1.244E-03 0.9613 
