Energy	SCS	Label	Reference
keV	1e-15 eV cm2/atom		
300.00	93.30	A	Li73b
400.00	102.9	A	
500.00	109.4	A	
600.00	113.6	A	
700.00	116.1	A	
800.00	117.4	A	
900.00	117.8	A	
1000.0	117.6	A	
1100.0	116.9	A	
1200.0	115.9	A	
1300.0	114.7	A	
1400.0	113.3	A	
1500.0	111.8	A	
1600.0	110.3	A	
1700.0	108.7	A	
1800.0	107.1	A	
1900.0	105.5	A	
2000.0	103.9	A	
2000.0	106.0	B	Ch73
318.00	103.6	C	Le74
418.00	111.3	C	
490.00	117.2	C	
603.00	120.0	C	
687.00	122.8	C	
791.00	124.8	C	
896.00	125.9	C	
972.00	126.0	C	
1069.0	124.8	C	
1155.0	124.8	C	
1223.0	123.3	C	
1340.0	121.4	C	
1428.0	118.9	C	
1535.0	117.2	C	
1642.0	114.9	C	
1709.0	114.2	C	
1739.0	112.4	C	
1827.0	111.5	C	
500.00	112.9	D	Er63
750.00	121.2	D	
1250.0	116.3	D	
1500.0	111.4	D	
1750.0	106.5	D	
500.00	112.9	E	Bo74
750.00	121.2	E	
1000.0	120.9	E	
1250.0	116.3	E	
1500.0	111.4	E	
1750.0	106.5	E	
1030.0	124.5	F	Si72
1519.8	119.1	F	
2486.6	103.0	F	
3064.5	93.56	F	
3690.8	84.58	F	
4822.6	72.71	F	
5997.7	65.71	F	
7262.7	61.86	F	
8435.9	57.22	F	
9569.2	51.07	F	
10964	47.45	F	
12120	45.94	F	
13326	42.90	F	
14798	41.34	F	
16352	39.30	F	
18322	37.70	F	
19525	36.50	F	
33.446	34.91	G	Mor21
43.321	39.44	G	
51.476	45.26	G	
62.052	54.31	G	
82.717	58.19	G	
110.27	70.47	G	
85.130	58.19	G	
169.71	76.29	G	
177.19	80.17	G	
190.39	81.47	G	
226.23	90.52	G	
268.81	97.63	G	
396.27	108.6	G	
484.60	109.9	G	
561.52	111.6	G	
652.99	116.0	G	
792.82	118.9	G	
994.24	119.4	G	
1194.2	116.5	G	
1449.9	114.1	G	
1650.2	107.8	G	
1857.9	106.3	G	
2003.5	106.3	G	
2738.8	97.60	G	
2828.8	93.24	G	
3703.8	84.04	G	
4695.1	74.84	G	
6629.1	64.67	G	
8224.0	55.95	G	
8224.0	56.43	G	
