0.88857143	28.34		A	Gs98	5%	H.Geissel, pers. communication. Data measured at UNILAC 1977-81, partly contained in Gs82b and Gs83b. 
0.92873016	28.18		A	--		
1.3452381	28.05		A	--		--
1.38460317	27.82		A	--		--
2.5		26.4		A	--		--
4		25		A	--		--
0.1056	10.9677257062360	B	Msi15	5.2%	M. Msimanga, C.B. Mtshali, C.A. Pineda-Vargas, Nucl. Instrum. Methods B 349, 1-5 (2015)
0.1339	12.8669534374764	B	--		--
0.1368	12.9927301084195	B	--		--
0.1586	14.4014288229819	B	--		--
0.1792	15.4202198576208	B	--		--
0.2013	16.6654088999572	B	--		--
0.2161	16.9924282444092	B	--		--
0.2345	17.5961562649360	B	--		--
0.2571	18.3633939576887	B	--		--
0.2752	19.1432093175358	B	--		--
0.2873	19.1306316504415	B	--		--
0.3029	19.5331169974593	B			
