     Energy    SCS       Plot_name   Reference                                                                        error
     MeV/n     MeV/(mg cm^(-2))                                                                                         %           
1   0.0444444   8.3043478   A   A. Dib et al, Nuclear Instruments and Methods in Physics Research B 363 (2015) 24–27    5.7
2   0.0466667   8.7101449   A   --  
3   0.0516049   9.3864734   A   --  
4   0.0535802   9.7584541   A   --  
5   0.0567901   10.4347826  A   --  
6   0.062963    10.8743961  A   --  
7   0.0651852   11.1449275  A   --  
8   0.0641975   11.4492754  A   --  
9   0.071358    12.0241546  A   --  
10  0.0745679   12.4299517  A   --  
11  0.0787654   12.9371981  A   --  
12  0.0824691   13.2415459  A   --  
13  0.082963    12.531401   A   --  
14  0.0859259   13.0724638  A   --  
15  0.0871605   13.9178744  A   --  
16  0.091358    14.4589372  A   --  
17  0.1         15.4057971  A   --  
18  0.1054321   16.0483092  A   --  
19  0.1111111   16.3188406  A   --  
20  0.1155556   16.9275362  A   --  
21  0.114321    17.2657005  A   --  
22  0.1214815   17.2995169  A   --  
23  0.1209877   17.7729469  A   --  
24  0.1266667   17.7729469  A   --  
25  0.1269136   18.1449275  A   --  
26  0.1291358   18.3816425  A   --  
27  0.1333333   18.7536232  A   --  
28  0.1353086   18.4492754  A   --  
29  0.1385185   19.0241546  A   --  
30  0.142716    18.8888889  A   --  
31  0.1437037   19.9371981  A   --  
32  0.154321    19.7681159  A   --  
33  0.1488889   19.8019324  A   --  
34  0.148642    20.3429952  A   --  
35  0.1580247   20.0048309  A   --  
36  0.1540741   20.5120773  A   --  
37  0.1622222   21.2898551  A   --  
38  0.1644444   20.7149758  A   --  
39  0.1664198   21.2898551  A   --  
40  0.1693827   21.9323671  A   --  
41  0.1785185   21.3913043  A   --  
42  0.1797531   21.763285   A   --  
43  0.1777778   22.1352657  A   --  
44  0.1819753   23.1497585  A   --  
45  0.1859259   23.1497585  A   --  
46  0.1846914   21.8309179  A   --  
47  0.1896296   21.8647343  A   --  
48  0.1906173   22.3719807  A   --  
49  0.1938272   22.6086957  A   --  
50  0.1923457   23.2512077  A   --  
51  0.2009877   22.7101449  A   --  
52  0.1980247   23.4879227  A   --  
53  0.2061728   23.1835749  A   --  
54  0.211358    23.589372   A   --  
55  0.2076543   24.2318841  A   --  
56  0.214321    24.0966184  A   --  
57  0.2192593   24.6714976  A   --  
58  0.2232099   25.0096618  A   --  
59  0.225679    24.1980676  A   --  
60  0.2318519   24.5024155  A   --  
61  0.2281481   25.5845411  A   --  
62  0.2360494   24.942029   A   --  
63  0.242963    25.2125604  A   --  
64  0.2395062   25.7198068  A   --  
65  0.2412346   26.5990338  A   --  
66  0.2471605   27.0386473  A   --  
67  0.2488889   26.4299517  A   --  
68  0.2516049   25.5845411  A   --  
69  0.2535802   27.0724638  A   --  
70  0.2580247   26.0917874  A   --  
71  0.262963    25.9565217  A   --  
72  0.2659259   26.2270531  A   --  
73  0.2597531   26.6328502  A   --  
74  0.2535802   27.1062802  A   --  
75  0.2575309   26.9033816  A   --  
76  0.2624691   27.4444444  A   --  
77  0.2646914   26.4975845  A   --  
78  0.2669136   27.5120773  A   --  
79  0.2693827   26.9710145  A   --  
80  0.2730864   27.6135266  A   --  
81  0.274321    27.6135266  A   --  
82  0.277037    27.4782609  A   --  
83  0.2804938   27.3429952  A   --  
84  0.282716    27.9178744  A   --  
85  0.2849383   28.3236715  A   --  
86  0.2824691   28.3236715  A   --  
87  0.2866667   27.2753623  A       
88  0.2891358   27.4444444  A       
89  0.2930864   27.3091787  A       
90  0.2967901   27.5458937  A       
91  0.294321    28.0869565  A       
