18.560	16.66	A
23.720	18.62	A
28.990	18.69	A
34.180	19.90	A
39.380	21.26	A
44.620	21.86	A
21.150	17.41	A
18.810	17.64	A
18.590	16.21	A
16.500	15.90	A
13.450	14.17	A
11.330	14.25	A
10.380	12.81	A
9.3400	12.59	A
8.3000	12.21	A
7.3500	10.70	A
6.3200	10.18	A
5.3200	9.500	A
4.1200	8.370	A
2.8200	7.160	A
1.7400	5.950	A
4.0800	8.225	A
6.6400	10.15	A
10.100	12.01	A
13.520	14.39	A
18.810	15.79	A
22.270	17.71	A
24.900	18.64	A
28.430	19.57	A
32.840	20.56	A
38.220	20.96	A
41.800	21.29	A
45.370	21.62	A
300.00	14.29	B
400.00	12.61	B
500.00	11.33	B
600.00	10.33	B
700.00	9.489	B
800.00	8.789	B
900.00	8.194	B
1000.0	7.686	B
1250.0	6.693	B
1500.0	5.947	B
1750.0	5.371	B
2000.0	4.911	B
2250.0	4.532	B
2500.0	4.206	B
2750.0	3.934	B
3000.0	3.697	B
55000	0.3990	C
65000	0.3510	C
73000	0.3220	C
3.0017	7.334	D
4.9952	9.537	D
4.0024	8.027	D
2.5015	6.120	D
1.5009	4.927	D
0.35023	2.397	E
0.45024	2.774	E
0.75516	3.621	E
1.0006	4.131	E
1.5009	5.151	E
2.0011	5.855	E
2.5015	6.824	E
4.0024	8.415	E
0.60412	3.305	E
2.5171	6.197	E
2.0137	5.365	E
1.2585	4.488	E
0.50346	2.815	E
0.75516	3.621	E
1.0069	3.947	E
1.6779	5.161	E
1.3391	4.366	E
0.83567	3.652	E
891.33	8.439	F
1001.9	7.847	F
1094.9	7.420	F
1106.4	7.375	F
1200.9	6.980	F
1212.6	6.929	F
1297.9	6.621	F
1321.4	6.555	F
1403.8	6.307	F
1423.1	6.256	F
1505.5	6.019	F
1526.6	5.967	F
1608.6	5.752	F
1629.8	5.695	F
1707.4	5.518	F
1734.5	5.453	F
1809.6	5.308	F
1834.6	5.255	F
1907.3	5.136	F
1938.8	5.041	F
2007.3	4.944	F
2040.3	4.872	F
2105.0	4.774	F
2141.3	4.733	F
2217.6	4.638	F
2242.7	4.574	F
2305.2	4.496	F
2343.9	4.420	F
2408.4	4.343	F
2444.6	4.300	F
2504.7	4.253	F
2545.2	4.188	F
2603.7	4.122	F
2643.8	4.074	F
2704.2	4.013	F
2746.1	3.979	F
2802.8	3.904	F
2848.1	3.893	F
2901.1	3.816	F
2949.2	3.753	F
2995.1	3.750	F
3049.1	3.680	F
3095.6	3.642	F
3149.4	3.581	F
3192.0	3.549	F
3200.3	3.549	F
3289.9	3.480	F
3298.3	3.476	F
3395.7	3.407	F
3487.8	3.339	F
3591.4	3.274	F
12.917	15.73	v
14.055	16.31	v
15.294	16.89	v
16.643	17.46	v
18.110	18.01	v
19.706	18.55	v
21.443	19.06	v
23.333	19.54	v
25.390	19.99	v
27.629	20.39	v
30.064	20.75	v
32.714	21.06	v
35.598	21.32	v
38.736	21.51	v
42.151	21.65	v
45.867	21.73	v
49.910	21.75	v
54.309	21.70	v
59.097	21.60	v
64.306	21.44	v
69.975	21.23	v
76.143	20.97	v
82.856	20.66	v
90.159	20.31	v
98.107	19.93	v
106.76	19.52	v
116.17	19.09	v
126.41	18.63	v
137.55	18.16	v
149.67	17.68	v
162.87	17.19	v
177.23	16.69	v
192.85	16.20	v
209.85	15.71	v
228.35	15.22	v
248.48	14.74	v
270.38	14.27	v
294.21	13.81	v
320.15	13.36	v
348.37	12.92	v
55000	0.3998	w
65000	0.3497	w
73000	0.3205	w
6497.0	2.095	x
10.000	12.44	y
15.000	14.74	y
20.000	16.39	y
30.000	18.77	y
40.000	20.40	y
50.000	21.35	y
60.000	21.80	y
70.000	21.95	y
80.000	21.85	y
90.000	21.60	y
100.00	21.30	y
120.00	20.55	y
140.00	19.70	y
160.00	18.75	y
180.00	17.81	y
200.00	16.81	y
210.00	16.35	y
0.71800	3.880	z
1.5980	5.605	z
2.5100	6.948	z
3.4220	8.125	z
4.3610	9.104	z
5.3030	9.916	z
6.2590	10.56	z
7.2100	11.26	z
8.1710	11.81	z
9.1250	12.45	z
3.9734	8.205	G
6.6874	10.08	G
10.142	11.95	G
13.505	14.25	G
18.456	15.69	G
22.145	17.70	G
25.224	18.64	G
28.730	19.50	G
32.723	20.51	G
38.255	20.87	G
41.362	21.23	G
44.721	21.52	G
