1	80	40.3	A
2	100	41	A
3	200	33.4	A
4	300	27	A
5	300	26.4	A
6	400	23.4	A
7	400	23	A
8	600	19.2	A
9	800	16.75	A
10	800	16.1	A
11	1000	15	A
12	1000	14.5	A
13	2000	10.4	A
14	3000	8.32	A
15	4000	7.06	A
16	6000	5.34	A
17	2250	10.082	B
18	2500	9.458	B
19	2750	8.911	B
20	3000	8.437	B
21	3250	8.016	B
22	3500	7.637	B
23	3750	7.301	B
24	4000	6.998	B
25	4250	6.726	B
26	4500	6.474	B
27	4750	6.245	B
28	5000	6.035	B
29	5250	5.839	B
30	5500	5.659	B
31	5750	5.491	B
32	6000	5.335	B
33	6500	5.052	B
34	7000	4.8	B
35	7500	4.576	B
36	8000	4.376	B
37	8500	4.194	B
38	9000	4.029	B
39	9500	3.878	B
40	10000	3.74	B
41	10500	3.613	B
42	11000	3.494	B
43	11500	3.386	B
44	12000	3.284	B
45	6500	4.955	C
