200	30.7	A	Kn80
300	30.7	A	
400	31.3	A	
600	25.3	A	
800	22.7	A	
1000	20.3	A	
171	39.1	B	Ob82
251	35.7	B	
283	33.8	B	
355	31.1	B	
382	29.8	B	
449	27.8	B	
517	26.7	B	
581	25.3	B	
592	25.1	B	
655	24	B	
719	23.2	B	
781	22.3	B	
818	21.9	B	
880	21.1	B	
922	20.6	B	
983	20	B	
1023	19.7	B	
1085	19.2	B	
1121	19	B	
1184	18.5	B	
1221	18.2	B	
1285	17.8	B	
1321	17.5	B	
1386	17.1	B	
1418	16.7	B	
1483	16.3	B	
1584	15.9	B	
1687	15.4	B	
1785	14.8	B	
1888	14.4	B	
1990	13.7	B	
285	34.5	C	La76
489	27.8	C	
696	24.3	C	
1005	20.6	C	
1543	16.9	C	
2057	15.1	C	
2482	13.8	C	
