50	19.9521	a					
75	25.1854	a					
100	28.4563	a					
150	29.4375	a					
200	28.9469	a					
250	27.6385	a					
300	26.3302	a					
350	25.2508	a					
400	24.3677	a					
450	23.55	a					
500	22.7323	a					
550	22.0781	a					
600	21.5875	a					
650	21.0969	a					
700	20.7698	a					
750	20.2792	a					
800	19.6904	a					
850	19.2979	a					
900	19.1344	a					
950	18.9708	a					
1000	18.6438	a					
1050	18.4802	a					
1100	18.055	a					
1150	17.8915	a					
1200	17.6625	a					
1250	17.499	a					
31.55	16.987	b					
69.547	23.6506	b					
108.453	25.0881	b					
147.826	26.1364	b					
185.052	25.8812	b					
231.488	24.9804	b					
358.393	21.4074	b					
398.579	21.2821	b					
17.028	15.2521	c					
35.693	18.7597	c					
57.991	24.5298	c					
77.506	25.8664	c					
87.6	27.5915	c					
107.536	26.9769	c					
136.174	28.6529	c					
155.732	27.499	c					
170.05	28.3182	c					
194.262	28.4412	c					
226.347	25.385	d					
274.056	25.9765	d					
281.962	28.9388	d					
296.79	28.4465	d					
302.149	28.393	d					
315.198	22.2059	d					
364	27.8021	e					
366	26.4938	e					
1001	19.2979	e					
1002	19.2979	e					
1003	19.625	e					
26.571	29.9948	f					
33.256	32.1532	f					
42.643	34.7039	f					
60.308	36.1596	f					
81.643	37.9839	f					
102.957	41.0893	f					
125.954	39.9989	f					
153.552	41.2421	f					
179.81	40.5791	f					
222.545	39.2589	f					
253.031	38.6557	f					
4.777	10.1443	g					
5.731	12.2245	g					
6.953	13.6324	g					
10.185	16.8193	g					
16.503	20.9917	g					
16.344	21.2911	g					
25.088	24.8605	g					
38.432	28.6409	g					
38.676	29.1718	g					
54.796	32.8787	g					
79.4	33.23	h					
111.2	35.43	h					
137.4	36.55	h					
149.9	36.51	h					
174.7	36.68	h					
204.1	35.94	h					
218.6	36.28	h					
239.4	34.98	h					
249.2	35.33	h					
269.3	34.53	h					
287.8	33.07	h					
290.9	33.66	h					
320.5	32.57	h					
338.7	31.08	h					
371.7	30.71	h					
434.3	28.23	h					
474.1	27.56	h					
504.8	26.75	h					
77.06	33.8	i					
77.93	32.87	i					
79.85	34.12	i					
143.79	38.15	i					
147.8	37.78	i					
292.3	34.42	i					
293.3	33.97	i					
58.2	31.18	j					
61.2	31.68	j					
70.1	32.57	j					
72.9	32.75	j					
98.9	35.36	j					
108	36.16	j					
117.7	36.35	j					
120.9	36.45	j					
146.4	37.45	j					
156.5	37.45	j					
165.5	37.55	j					
169	37.65	j					
171.2	37.25	j					
181.6	36.86	j					
195.9	36.65	j					
206.1	36.56	j					
245.6	35.36	j					
255.9	34.86	j					
45.6	28.3	k					
47.5	28.84	k					
55.4	31.08	k					
68.5	31.82	k					
84.6	33.87	k					
92.8	33.81	k					
101.4	35.76	k					
117	35.13	k					
130.9	37.55	k					
140.9	36.45	k					
148.3	37.55	k					
155.4	37.95	k					
166	36.46	k					
179.7	37.05	k					
195.6	36.17	k					
227.3	35.24	k					
229.1	36.45	k					
264	33.53	k					
308.7	32.05	k					
352.8	30.57	k					
117.2	36.9	l					
213.7	37.2	l					
327.1	34.1	l					
420.4	30.3	l					
41	26.43	m					
58	30.35	m					
77	33.03	m					
95.5	34.7	m					
105	36.05	m					
116	36.41	m					
126	36.82	m					
136	37.02	m					
146	37.3	m					
156	37.48	m					
167	37.54	m					
180	37.49	m					
197	37.08	m					
217	36.45	m					
235	35.99	m					
258	35.22	m					
275	34.78	m					
285	34.66	m					
313	33.74	m					
331	32.76	m					
364	31.75	m					
68	33.29	n					
82.88	34.26	n					
97.68	35.57	n					
112.41	36.66	n					
124.37	37.85	n					
132.6	37.45	n					
147.88	37.29	n					
163	37.08	n					
188.18	37.13	n					
203.5	36.96	n					
334.57	32.19	n					
344.54	31.89	n					
483.67	27.49	n					
483.98	27.58	n					
493.77	27.05	n					
494.12	27.14	n					
38.96	27.58	o					
39.05	27.63	o					
43.59	28.19	o					
43.61	28.45	o					
90.51	34.54	o					
90.66	34.52	o					
97.84	34.99	o					
105.29	34.92	o					
158.23	37.92	o					
158.34	37.5	o					
165.51	37.78	o					
165.54	37.22	o					
172.62	37.73	o					
172.91	37.48	o					
180.15	37.27	o					
180.22	37.57	o					
187.47	37.29	o					
187.57	37.29	o					
235.83	35.75	o					
236.09	35.75	o					
240.77	35.75	o					
240.89	35.66	o					
245.6	35.33	o					
8	20.2792	p					
4.7	10.124	q					
7.547	13.7321	q					
10.314	16.8827	q					
16.966	21.1814	q					
37.233	27.0465	r					
45.906	29.0278	r					
46.234	29.5713	r					
54.921	30.055	r					
55.536	31.1827	r					
59.625	31.2607	r					
64.345	31.4668	r					
65.364	31.8709	r					
70.342	32.9417	r					
73.34	32.9856	r					
75.517	32.9957	r					
83.127	33.619	r					
85.023	34.2701	r					
94.19	35.1117	r					
95.587	34.6578	r					
105.551	35.4915	r					
107.228	35.9142	r					
117.707	36.6882	r					
119.38	36.0705	r					
128.26	36.6793	r					
132.077	37.0646	r					
143.303	36.8968	r					
153.955	37.454	r					
169.974	37.367	r					
177.016	37.1049	r					
194.139	36.819	r					
80.36	34.6581	s					
94.77	35.6097	s					
98.296	35.3713	s					
100.047	36.3343	s					
115.082	36.73	s					
117.935	37.1552	s					
119.034	36.3731	s					
120.358	37.0125	s					
137.7	37.1142	s					
139.377	37.6355	s					
141.74	37.4329	s					
156.373	37.6466	s					
156.871	37.8906	s					
159.929	37.1936	s					
166.932	37.8004	s					
167.527	37.834	s					
179.226	37.1673	s					
179.303	37.6913	s					
189.519	37.4877	s					
190.118	37.5149	s					
198.791	36.9206	s					
222.019	36.3588	s					
227.046	36.5086	s					
228.61	36.5112	s					
250.104	35.8336	s					
251.723	35.8292	s					
268.381	34.5619	s					
287.295	34.3146	s					
291.768	33.8217	s					
310.466	33.5652	s					
317.815	33.1634	s					
341.053	32.4197	s					
367.583	31.0316	s					
367.913	31.5042	s					
391.329	30.7908	s					
465.738	28.543	s					
467.121	28.0532	s					
489.69	27.9176	s					
491.245	27.4348	s					
516.142	27.3415	s					
540.551	26.7554	s					
563.817	26.0128	s					
570.394	26.2454	s					
--	--						
--	--						
--	--						
--	--						
--	--						
--	--						
--	--						
--	--						
--	--						
--	--						
800	22.7683	t					
1000	20.5376	t					
1200	19.0526	t					
1400	17.8293	t					
1600	16.7826	t					
1800	15.8635	t					
2000	15.0785	t					
2200	14.3524	t					
2400	13.7146	t					
2600	13.1389	t					
2800	12.6189	t					
3000	12.1511	t					
3200	11.7292	t					
3400	11.3498	t					
3600	10.9965	t					
3800	10.6727	t					
4000	10.3718	t					
4200	10.0938	t					
4400	9.8354	t					
4600	9.5901	t					
4800	9.3579	t					
5000	9.142	t					
5200	8.9326	t					
5400	8.7331	t					
5600	8.5434	t					
5800	8.3668	t					
6000	8.1967	t					
6200	8.0364	t					
6400	7.8794	t					
6600	7.7257	t					
6800	7.5851	t					
7000	7.451	t					
7200	7.3169	t					
2250	14.1038	u					
2500	13.3679	u					
2750	12.7203	u					
3000	12.1381	u					
3250	11.618	u					
3500	11.1503	u					
3750	10.7251	u					
4000	10.3424	u					
4250	9.9924	u					
4500	9.6686	u					
4750	9.3709	u					
5000	9.0896	u					
5250	8.8313	u					
5500	8.5859	u					
5750	8.3603	u					
6000	8.1476	u					
6500	7.7584	u					
7000	7.415	u					
7500	7.1075	u					
8000	6.8197	u					
8500	6.5613	u					
9000	6.3258	u					
9500	6.1066	u					
10000	5.9071	u					
10500	5.7207	u					
11000	5.5506	u					
11500	5.3903	u					
12000	5.2399	u					
2250	14.1006	v					
2500	13.3777	v					
2750	12.7203	v					
3000	12.1348	v					
3250	11.6147	v					
3500	11.1503	v					
3750	10.7251	v					
4000	10.3424	v					
4250	9.9891	v					
4500	9.6653	v					
4750	9.3677	v					
5000	9.0896	v					
5500	8.5859	v					
6000	8.1444	v					
6500	7.7584	v					
7000	7.4117	v					
7500	7.101	v					
8000	6.8164	v					
8500	6.558	v					
9000	6.3225	v					
9500	6.1066	v					
10000	5.9071	v					
11000	5.5473	v					
12000	5.2366	v					
13000	4.9651	v					
14000	4.7231	v					
15000	4.5105	v					
16000	4.3175	v					
17000	4.1441	v					
18000	3.9839	v					
7000	7.3528	w					
7500	7.0388	w					
8000	6.7575	w					
9000	6.2735	w					
10000	5.8581	w					
11000	5.5114	w					
12000	5.2006	w					
13000	4.9357	w					
14000	4.6936	w					
15000	4.4843	w					
16000	4.2848	w					
17000	4.1213	w					
18000	3.961	w					
19000	3.8138	w					
20000	3.6797	w					
6500	7.693	x					
3000	12.0072	y					
3500	11.0489	y					
4000	10.2377	y					
4500	9.5803	y					
5000	9.0144	y					
5500	8.5173	y					
6000	8.0691	y					
6500	7.693	y					
7000	7.343	y					
7500	7.0323	y					
8000	6.7575	y					
800	23.321	z					
1000	21.2931	z					
1200	19.6577	z					
1400	18.284	z					
1600	17.1065	z					
1800	16.1252	z					
2000	15.2748	z					
2200	14.5225	z					
2400	13.8029	z					
2600	13.1815	z					
2800	12.6581	z					
3000	12.2002	z					
3200	11.8077	z					
3400	11.4152	z					
3600	11.0227	z					
3800	10.6956	z					
4000	10.3358	z					
4200	10.0742	z					
4400	9.8125	z					
4600	9.5508	z					
4800	9.3219	z					
5000	9.0929	z					
