EkeV	data	label	ref
28.103	19.496	A	Me82a
37.150	23.941	A	
49.261	26.445	A	
56.849	28.986	A	
67.209	30.202	A	
77.570	31.293	A	
87.930	31.320	A	
96.977	31.911	A	
107.34	32.251	A	
126.74	32.546	A	
148.19	31.937	A	
176.21	30.363	A	
205.54	28.020	A	
235.89	26.490	A	
264.93	25.381	A	
296.01	23.020	A	
345.77	19.782	A	
161.49	28.101	B	Me82b
181.60	27.121	B	
201.96	26.481	B	
221.41	25.249	B	
240.87	24.655	B	
261.47	23.034	B	
277.16	22.073	B	
301.41	20.821	B	
321.65	20.224	B	
342.13	18.987	B	
80.000	28.300	C	Si84
100.00	29.400	C	
200.00	25.600	C	
300.00	21.100	C	
300.00	21.300	C	
400.00	18.000	C	
400.00	18.600	C	
600.00	14.800	C	
800.00	12.750	C	
1000.0	11.000	C	
559.20	17.700	D	Pw68
1776.1	8.3300	D	
1984.1	7.8400	D	
200.00	29.900	E	Bd56
300.00	25.300	E	
400.00	24.100	E	
500.00	18.500	E	
600.00	16.600	E	
2250.0	7.0819	F	An68
2500.0	6.5990	F	
2750.0	6.1862	F	
3000.0	5.8285	F	
3250.0	5.5163	F	
3500.0	5.2381	F	
3750.0	4.9936	F	
4000.0	4.7737	F	
4250.0	4.5750	F	
4500.0	4.3940	F	
4750.0	4.2290	F	
5000.0	4.0776	F	
5250.0	3.9381	F	
5500.0	3.8087	F	
5750.0	3.6886	F	
6000.0	3.5769	F	
6500.0	3.3748	F	
7000.0	3.1971	F	
7500.0	3.0390	F	
8000.0	2.8977	F	
8500.0	2.7700	F	
9000.0	2.6550	F	
9500.0	2.5501	F	
10000	2.4537	F	
10500	2.3657	F	
11000	2.2845	F	
11500	2.2092	F	
12000	2.1399	F	
53.089	26.796	G	Sl90
69.254	28.132	G	
77.833	28.232	G	
86.519	28.722	G	
97.301	28.564	G	
117.69	28.386	G	
129.86	27.959	G	
155.69	26.670	G	
167.84	26.599	G	
174.05	26.385	G	
195.89	24.965	G	
196.55	25.097	G	
218.31	24.684	G	
218.69	24.630	G	
238.20	23.369	G	
269.61	22.797	G	
292.12	21.842	G	
339.05	20.412	G	
387.25	19.198	G	
439.25	17.981	G	
484.15	17.176	G	
542.00	16.120	G	
579.91	15.390	G	
643.77	14.469	G	
656.87	14.328	G	
657.15	14.124	G	
725.95	13.483	G	
726.04	13.294	G	
6500.0	3.3477	H	Is79
6497.0	3.3570	I	Sm94
53.817	26.523	J	Mor18_JKU
65.390	27.408	J	
76.088	28.226	J	
87.261	28.429	J	
129.73	27.947	J	
178.13	26.375	J	
224.33	25.008	J	
284.51	22.140	J	
419.76	18.043	J	
467.68	17.564	J	
563.95	14.970	J	
606.11	14.765	J	
1812.2	7.5900	K	Mor18_UU
1961.7	7.4527	K	
2265.8	6.6326	K	
2470.6	6.4271	K	
532.41	16.130	L	Mor18_USP
715.37	13.876	L	
900.85	12.032	L	
1118.2	10.597	L	
1348.6	9.3668	L	
1569.0	8.8195	L	
1799.2	7.6583	L	
