632.	13.95	A		
774.	12.7	A		
992.	10.39	A		
300.	21.4811	B
400.	18.5623	B
500.	16.4468	B
600.	14.8562	B
700.	13.6076	B
800.	12.6055	B
900.	11.7784	B
1000	11.0865	B
1100	10.4821	B
1200	9.9651	B	
1300	9.5118	B	
1400	9.1141	B	
1500	8.7563	B	
100.	32.2097	C
125.	30.6191	C
150.	29.108	C	
175.	27.756	C	
200.	26.404	C	
225.	25.2906	C
250.	24.1771	C
275.	23.1433	C
300.	22.2684	C
325.	21.3936	C
350.	20.5188	C
375.	19.8825	C
400.	19.0872	C
425.	18.451	C	
450.	17.8943	C
475.	17.258	C	
500.	16.7013	C
525.	16.1446	C
550.	15.747	C	
575.	15.2698	C
600.	14.8721	C
625.	14.3949	C
650.	14.0768	C
675.	13.6792	C
700.	13.3611	C
725.	13.0429	C
750.	12.8043	C
775.	12.4862	C
800.	12.1681	C
825.	12.009	C	
850.	11.7705	C
875.	11.6909	C
900.	11.3728	C
925.	11.2933	C
950.	11.2137	C
1000	11.0547	C
4.051	9.302000	D	14.8832	--	
4.736	10.5440625	D	16.8705	--	
5.868	11.7843125	D	18.8549	--	
7.115	12.44925	D	19.9188	--	
8.296	13.63825	D	21.8212	--	
9.158	13.6999375	D	21.9199	--	
10.049	14.991625	D	23.9866	--	
11.549	15.9738125	D	25.5581	--	
3.10	8.4035625	E	13.4457	--	
3.235	8.278250	E	13.2452	--	
3.535	9.0785625	E	14.5257	--	
3.854	9.5898125	E	15.3437	--	
4.357	10.18750	E	16.3	--	
4.504	10.29475	E	16.4716	--	
4.919	10.3694375	E	16.5911	--	
5.583	11.5814375	E	18.5303	--	
6.441	11.34225	E	18.1476	--	
6.837	12.0013125	E	19.2021	--	
7.582	13.255375	E	21.2086	--	
0.327	2.694875	F	4.3118	--	
1.543	6.768250	F	10.8292	--	
3.13	9.9713125	F	15.9541	--	
5.22	12.9685625	F	20.7497	--	
8.162	15.466875	F	24.747	--	
11.072	18.239625	F	29.1834	--	
14.769	19.9501875	F	31.9203	--	
17.551	20.65575	F	33.0492	--	
21.855	21.0966875	F	33.7547	--	
25.592	21.7316875	F	34.7707	--	
30.051	23.8129	G	--	--	
35.321	25.2224	G	--	--	
39.999	26.7842	G	--	--	
44.712	27.5819	G	--	--	
50.41	28.4868	G	--	--	
54.752	28.8582	G	--	--	
57.316	28.8079	G	--	--	
65.089	29.5032	G	--	--	
70.634	29.8124	G	--	--	
75.086	29.56	G	--	--	
80.352	30.6608	G	--	--	
84.328	30.4401	G	--	--	
90.317	31.4277	G	--	--	
94.92	31.9193	G	--	--	
16.293	18.7444	H	--	--	
18.222	19.5976	H	--	--	
20.632	21.8901	H	--	--	
22.501	21.4135	H	--	--	
24.876	22.3602	H	--	--	
28.028	24.0165	H	--	--	
30.564	24.9103	H	--	--	
35.269	26.3077	H	--	--	
40.054	27.2508	H	--	--	
44.401	26.9164	H	--	--	
2250	6.8483	I	--	--	
2500	6.3807	I	--	--	
2750	5.9807	I	--	--	
3000	5.6363	I	--	--	
3250	5.3373	I	--	--	
3500	5.0724	I	--	--	
3750	4.8362	I	--	--	
4000	4.6247	I	--	--	
4250	4.433	I	--	--	
4500	4.258	I	--	--	
4750	4.0982	I	--	--	
5000	3.9511	I	--	--	
5250	3.8159	I	--	--	
5500	3.6902	I	--	--	
5750	3.5733	I	--	--	
6000	3.4643	I	--	--	
6500	3.2687	I	--	--	
7000	3.0953	I	--	--	
7500	2.9418	I	--	--	
8000	2.805	I	--	--	
8500	2.681	I	--	--	
9000	2.5688	I	--	--	
9500	2.467	I	--	--	
10000	2.3732	I	--	--	
10500	2.2881	I	--	--	
11000	2.2086	I	--	--	
11500	2.1354	I	--	--	
12000	2.0678	I	--	--	
7000	2.9943	J	--	--	
6500	3.2385	K	--	--	
1090.9	10.49	L	--	--	
1850.5	7.74	L	--	--	
1997.5	7.26	L	--	--	
55000	0.6377	M	--	--	
65000	0.5581	M	--	--	
73000	0.5111	M	--	--	
6497	3.233	N	--	--	
200.	26.0197	O	--	--	
300.	21.7284	O	--	--	
400.	18.717	O	--	--	
500.	16.4906	O	--	--	
600.	14.8846	O	--	--	
700.	13.604	O	--	--	
800.	12.5978	O	--	--	
900.	11.7443	O	--	--	
1000	11.0388	O	--	--	
1200	9.895	O	--	--	
1400	9.0105	O	--	--	
1600	8.3065	O	--	--	
1800	7.7179	O	
2000	7.2081	O	
2200	6.7841	O	
2400	6.4127	O	
2600	6.0881	O	
2800	5.7994	O	
3000	5.5409	O	
3250	5.2537	O	
3500	4.996	O	
3750	4.7614	O
4000	4.5514	O
4500	4.1934	O
5000	3.8936	O
5500	3.639	O	
6000	3.4235	O
6500	3.227	O	
7000	3.056	O	
7500	2.9065	O
8000	2.772	O	
8500	2.6495	O
9000	2.5398	O	
9500	2.4403	O	
10000	2.3489	O	
10500	2.263	O	
11000	2.1858	O	
11500	2.111	O	
12000	2.049	O	
12500	1.983	O	
13000	1.9257	O
13500	1.8716	O
55000	0.634	P	
65000	0.5587	P
73000	0.5121	P
44.31	28.5	Q	
44.34	28.66	Q
44.76	28.2	Q	
44.79	28.43	Q
45.22	28.15	Q
45.28	28.42	Q
51.64	29.75	Q
51.65	29.00	Q
52.15	29.89	Q
52.17	29.09	Q
52.71	30.19	Q
58.98	30.6	Q	
59.00	30.4	Q	
59.54	30.74	Q
59.66	30.35	Q
59.69	30.58	Q
60.23	30.66	Q
66.15	30.56	Q
66.18	30.75	Q
66.79	30.59	Q
66.83	30.77	Q
67.54	30.62	Q
68.33	30.83	Q
69.19	30.65	Q
69.51	30.62	Q
69.53	30.72	Q
69.88	31.05	Q
70.54	31.08	Q
71.29	31.1	Q	
72.16	30.84	Q
72.95	30.49	Q
77.23	30.87	Q
77.98	30.65	Q
78.01	30.91	Q
78.86	31.1	Q	
79.35	31.86	Q
79.38	31.65	Q
89.07	31.35	Q
94.05	31.32	Q
103.97	30.87	Q
