600.0	0.1340	A		
700.0	0.1230	A		
800.0	0.1150	A		
900.0	0.1080	A		
1000	0.1020	A		
1100	0.09674	A		
1200	0.09231	A		
1300	0.08844	A		
1400	0.08469	A		
1500	0.08138	A		
1600	0.07851	A		
1700	0.07583	A		
1800	0.07339	A		
1900	0.07102	A		
2000	0.06890	A		
2100	0.06703	A		
2200	0.06509	A		
2300	0.06341	A		
2400	0.06179	A		
2500	0.06029	A		
2600	0.05879	A		
2700	0.05742	A		
2800	0.05611	A		
281.0	0.1414	B		
477.0	0.1039	B		
973.0	0.06764	B		
1470	0.05933	B		
1970	0.03695	B		
