Impact energy	SCS	label	Ref
keV	e-15 eV cm2/atom		
98.800	23.30	S	
120.70	21.75	S	
151.00	20.41	S	
186.00	18.39	S	
225.00	16.81	S	
272.10	15.73	S	
2000.0	5.226	T	Ts67
2500.0	4.482	T	
3000.0	3.942	T	
3500.0	3.531	T	
4000.0	3.205	T	
4500.0	2.941	T	
5000.0	2.721	T	
5500.0	2.536	T	
6000.0	2.376	T	
6500.0	2.238	T	
7000.0	2.116	T	
7500.0	2.009	T	
8000.0	1.914	T	
8500.0	1.827	T	
9000.0	1.749	T	
9500.0	1.679	T	
10000	1.614	T	
11000	1.500	T	
12000	1.402	T	
13000	1.318	T	
14000	1.244	T	
15000	1.180	T	
16000	1.122	T	
17000	1.070	T	
18000	1.023	T	
19000	0.9808	T	
20000	0.9421	T	
23000	0.8395	T	
27000	0.7444	T	
31000	0.6679	T	
20.174	20.68	U	Ep94a
22.095	21.49	U	
24.198	22.27	U	
26.502	23.00	U	
29.025	23.67	U	
31.789	24.27	U	
34.816	24.78	U	
38.130	25.19	U	
41.761	25.51	U	
45.736	25.72	U	
50.091	25.81	U	
54.860	25.79	U	
60.083	25.66	U	
65.804	25.43	U	
72.069	25.10	U	
78.930	24.69	U	
86.445	24.19	U	
94.675	23.64	U	
103.69	23.02	U	
113.56	22.37	U	
124.37	21.69	U	
136.21	20.98	U	
149.18	20.26	U	
163.39	19.54	U	
178.94	18.82	U	
195.98	18.10	U	
214.64	17.41	U	
235.07	16.72	U	
257.45	16.06	U	
281.97	15.42	U	
308.81	14.81	U	
338.21	14.22	U	
370.41	13.65	U	
405.68	13.11	U	
444.30	12.59	U	
486.60	12.10	U	
532.93	11.63	U	
583.67	11.19	U	
639.24	10.76	U	
700.10	10.37	V	Ik96
19.300	20.60	V	
24.600	21.70	V	
31.000	23.10	V	
35.300	24.20	V	
43.900	24.70	V	
44.900	25.30	V	
50.300	24.30	V	
52.400	23.70	V	
54.500	26.10	V	
58.800	24.70	V	
64.200	25.40	V	
72.700	25.10	V	
70.600	24.50	V	
79.100	23.80	V	
92.000	22.40	V	
99.500	21.70	V	
109.00	22.40	V	
120.00	21.00	V	
130.00	20.60	V	
137.00	19.60	V	
