Impact Energy	Stopping cross section	label
MeV/nucleon	MeV cm\+(2)/mg	
0.09029	1.796	A
0.1175	2.099	A
0.1570	2.292	A
0.1925	2.461	A
0.2444	2.507	A
0.2902	2.627	A
0.3421	2.528	A
0.4045	2.586	A
0.4460	2.524	A
0.4792	2.462	A
0.5353	2.350	A
0.5976	2.385	A
0.6308	2.298	A
0.6911	2.259	A
0.7201	2.100	A
0.7679	2.196	A
0.7969	2.049	A
0.8634	2.058	A
0.9008	2.081	A
0.9423	1.885	A
0.9860	2.029	A
1.011	1.846	A
1.048	1.905	A
1.086	1.928	A
1.138	1.744	A
1.210	1.887	A
1.273	1.629	A
1.349	1.772	A
1.428	1.818	A
1.470	1.452	A
1.539	1.704	A
1.599	1.459	A
