     0.102      8.45	A	Per09      1.1-2.0%
     0.098      8.26	A	
     0.131      9.89	A
     0.146     10.64	A
      0.17     11.72	A
     0.204     13.05	A
     0.245      14.5	A
     0.285     15.95	A
     0.329     17.31	A
     0.421     19.81	A
     0.473     21.02	A
     0.602      23.9	A
     0.719     25.94	A
     0.861      28.1	A
     1.059     30.41	A
     1.376     32.92	A
     1.653     34.14	A
     1.916     34.96	A
     2.539     35.32	A
     2.929     35.47	A
     3.523     34.88	A
     4.214     33.61	A
     5.715     32.57	A
     6.878     31.03	A
     7.731     30.27	A
