     0.204      6.36	A	Per09	1.7-3.2%
     0.236       7.1	A
     0.272      7.81	A
     0.314      8.64	A
     0.341      9.14	A
     0.389      9.92	A
     0.438     10.58	A
     0.546     12.03	A
     0.622     12.83	A
     0.736     13.82	A
     0.844     14.57	A
     0.957      15.2	A
     1.122     15.89	A
     1.415     16.65	A
     1.737     17.34	A
     1.942      17.7	A
     2.407     18.14	A
     2.918     18.55	A
     3.211     18.82	A
     3.531     18.84	A
     4.331     19.02	A
     5.364     19.17	A
      6.11     18.89	A
     7.169     18.28	A
     8.167     18.01	A
	
