	0.00548	4.021	A	Hv68	7%   results were multiplied by 0.50139
	0.00882	4.914	A
	0.01326	6.027	A
	0.01660	6.463	A
	0.027	8.900	B	Per09	1.1-12%		
	0.037	10.28	B
	0.049	11.68	B
	0.053	12.22	B
	0.067	14.09	B
	0.078	15.82	B
	0.093	17.83	B
	0.115	20.21	B
	0.15 	25.08	B
	0.186	29.03	B
	0.238	34.94	B
	0.318	42.24	B
	0.387	47.01	B
	0.49 	51.67	B
	0.623	55.57	B
	0.802	58.29	B
	0.998	59.68	B
	1.301	60.8 	B
	1.738	62.55	B
	2.197	63.31	B
	2.772	63.87	B
	3.491	63.76	B
	4.436	61.21	B
	5.904	57.54	B
	7.365	52.98	B
