0.2545	5.8	A	Fs76	4%	Forster et al, Nucl.Instrum.Methods Phys.Res. 136,349 (1976)
0.3411	6.99	A			
0.4109	7.42	A			
0.5439	8.16	A			
0.7502	9.03	A			
0.9821	9.48	A			
1.256	9.46	A			
2.009	8.48	A			
2.448	7.94	A			
2.968	7.49	A			
0.0168	1.26	B	B Wr79	4%	Ward et al, Can.J.Phys. 57,645 (1979)
0.0251	1.65	B			
0.18256	5.97548	C	Dib19		Dib, Nucl.Instrum.Methods Phys.Res. B 450, 43 (2019)
0.18701	5.99759	C			
0.18533	6.06283	C			
0.19479	6.17245	C			
0.19256	6.17229	C			
0.21259	6.41339	C			
0.1998	6.21639	C			
0.20313	6.30377	C			
0.20536	6.32572	C			
0.20925	6.43494	C			
0.21482	6.39177	C			
0.21815	6.58809	C			
0.22038	6.52289	C			
0.22482	6.69751	C			
0.22649	6.7412	C			
0.22927	6.71962	C			
0.23261	6.69807	C			
0.23985	6.78574	C			
0.2365	6.82907	C			
0.24373	6.96032	C			
0.24652	6.98231	C			
0.24874	6.98247	C			
0.25208	7.06986	C			
0.25541	7.11367	C			
0.25709	7.07022	C			
0.26042	7.1794	C			
0.26487	7.24508	C			
0.26599	7.20159	C			
0.26932	7.22362	C			
0.27266	7.28922	C			
0.27656	7.2895	C			
0.28044	7.50765	C			
0.28267	7.50781	C			
0.28434	7.42079	C			
0.28935	7.55187	C			
0.29324	7.6393	C			
0.29825	7.59609	C			
0.30214	7.74888	C			
0.30325	7.8361	C			
0.30659	7.70563	C			
0.30881	7.79294	C			
0.31271	7.88036	C			
0.31772	7.90251	C			
0.31882	8.03331	C			
0.32383	7.99011	C			
0.32661	8.05567	C			
0.32939	8.09944	C			
0.33163	7.99067	C			
0.3344	8.07802	C			
0.3383	8.16545	C			
0.34108	8.16565	C			
0.34386	8.23121	C			
0.3472	8.25324	C			
0.34998	8.20987	C			
0.3511	8.18816	C			
0.3561	8.27567	C			
0.36111	8.3414	C			
0.36444	8.53772	C			
0.36611	8.51605	C			
0.36779	8.3201	C			
0.37112	8.42927	C			
0.37445	8.60381	C			
0.37835	8.53873	C			
0.38169	8.51718	C			
0.38559	8.56104	C			
0.38781	8.62656	C			
0.39115	8.6268	C			
