4.25	6.05	A	5%	Diw07	--
4.5	5.83	A	--	--	--
4.75	5.62	A	--	--	--
5	5.43	A	--	--	--
5.25	5.25	A	--	--	--
5.5	5.08	A	--	--	--
5.75	4.92	A	--	--	--
0.5	14.21	B	4%	Shr09	Sharma et al, Nucl.Instrum.Methods Phys.Res. B194, 7 (2002)
0.75	13.04	B	--	--	--
1	12.05	B	--	--	--
1.25	11.2	B	--	--	--
1.5	10.46	B	--	--	--
1.75	9.81	B	--	--	--
2	9.24	B	--	--	--
2.25	8.73	B	--	--	--
2.5	8.27	B	--	--	--
2.75	7.86	B	--	--	--
3	7.49	B	--	--	--
3.25	7.15	B	--	--	--
3.5	6.84	B	--	--	--
3.75	6.56	B	--	--	--
4	6.3	B	--	--	--
0.1083	11.3612	C	5.7%	Dib15b	--
0.1102	11.3065	C		--	--
0.1134	11.4536	C		--	--
0.1157	11.8328	C		--	--
0.1203	11.6131	C		--	--
0.1236	12.1217	C		--	--
0.126	12.2478	C		--	--
0.1284	12.6239	C		--	--
0.1313	12.6566	C		--	--
0.1335	12.4458	C		--	--
0.1358	12.6777	C		--	--
0.1384	12.938	C		--	--
0.141	12.6757	C		--	--
0.1433	12.5568	C		--	--
0.149	13.7505	C		--	--
0.1513	13.5786	C		--	--
0.1558	13.9105	C		--	--
0.1605	14.3188	C		--	--
0.1632	13.7244	C		--	--
0.1656	14.102	C		--	--
0.1678	14.0189	C		--	--
0.1704	13.5727	C		--	--
0.1726	14.679	C		--	--
0.1755	14.5877	C		--	--
0.1768	14.3785	C		--	--
0.1798	14.5807	C		--	--
0.1819	14.154	C		--	--
0.1847	14.2371	C		--	--
0.1865	14.6729	C		--	--
0.1897	15.0968	C		--	--
0.191	14.8845	C		--	--
0.1941	14.3303	C		--	--
0.1964	15.0233	C		--	--
0.2002	15.4835	C		--	--
0.2029	15.5919	C		--	--
0.2106	16.0211	C		--	--
0.2123	15.0759	C		--	--
0.2172	15.2204	C		--	--
0.2195	15.757	C		--	--
0.2237	15.4361	C		--	--
0.2253	15.2862	C		--	--
0.231	15.5952	C		--	--
0.2328	16.3534	C		--	--
0.2399	16.6788	C		--	--
0.2418	15.4433	C		--	--
0.2463	16.3672	C		--	--
0.2532	15.8672	C		--	--
0.2576	16.7378	C		--	--
0.2588	16.4081	C		--	--
0.2609	16.0288	C		--	--
0.2725	16.9011	C		--	--
0.2741	16.154	C		--	--
0.2786	16.5093	C		--	--
0.2839	16.2988	C		--	--
0.2883	16.8844	C		--	--
0.2899	16.6132	C		--	--
0.2943	17.3868	C		--	--
0.2965	16.7105	C		--	--
0.3035	16.8626	C		--	--
0.3084	17.0388	C		--	--
0.3108	16.4713	C		--	--
0.3179	17.5434	C		--	--
0.3227	17.0579	C		--	--
0.3246	17.5326	C		--	--
0.3293	16.8542	C		--	--
0.3312	16.9285	C		--	--
0.333	16.5276	C		--	--
0.3348	16.5592	C		--	--
0.3409	16.5875	C		--	--
0.3473	17.031	C		--	--
0.355	17.49	C		--	--
0.3573	16.8768	C		--	--
0.3626	17.27	C		--	--
0.3653	16.849	C		--	--
0.3675	16.4791	C		--	--
0.37	16.9286	C		--	--
0.3777	17.2308	C		--	--
0.3837	16.7966	C		--	--
0.3863	16.9016	C		--	--
0.3914	16.52	C		--	--
0.3944	16.8802	C		--	--
0.398	17.0292	C		--	--
0.4014	16.167	C		--	--
0.2791	13.843	D		3.3% 	Mik15	Miksova NIMB 354 (2015) 205-209
0.2942	14.134	D			
0.3095	14.396	D			
0.3255	14.605	D			
0.3428	14.751	D			
0.3599	14.862	D			
0.3774	14.95	D			
