63.86	2.928	A	ZW09	4%
82.84	3.462	A		
112.2	3.971	A		
143.6	4.481	A		
168.7	4.820	A		
204.2	5.111	A		
237.6	5.438	A		
293.8	5.618	A		
341.7	5.847	A		
410.3	5.796	A		
483.1	5.890	A		
532.9	5.730	A		
591.0	5.728	A		
655.4	5.701	A		
705.2	5.481	A		
792.5	5.502	A		
819.4	5.306	A		
892.2	5.413	A		
956.4	5.119	A		
975.2	5.288	A		
1025	5.286	A		
1060	4.944	A		
1100	5.235	A		
1166	4.940	A		
1224	5.133	A		
1266	4.888	A		
1318	4.922	A		
0.1643	4.865	B	Msi10	6.4%
0.1849	5.031	B		
0.2070	5.232	B		
0.2260	5.425	B		
0.2504	5.503	B		
0.2755	5.643	B		
0.3006	5.896	B		
0.3273	5.931	B		
0.3501	5.860	B		
0.3714	5.938	B		
0.3934	5.797	B		
0.4162	5.840	B		
0.4360	5.778	B		
0.4786	5.970	B		
0.4983	5.671	B		
0.5257	5.872	B		
0.5507	5.389	B		
0.5728	5.450	B		
0.5987	5.545	B		
0.6268	5.273	B		
