PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM OXIDE                                                          

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

5.500E-01 2.622E+02 2.371E-01 2.625E+02 1.609E-03 1.547E-03 0.9614 
6.000E-01 2.494E+02 2.201E-01 2.497E+02 1.805E-03 1.741E-03 0.9648 
6.500E-01 2.381E+02 2.055E-01 2.383E+02 2.010E-03 1.945E-03 0.9677 
7.000E-01 2.279E+02 1.928E-01 2.281E+02 2.224E-03 2.158E-03 0.9702 
7.500E-01 2.187E+02 1.817E-01 2.188E+02 2.448E-03 2.381E-03 0.9724 
8.000E-01 2.102E+02 1.719E-01 2.104E+02 2.681E-03 2.612E-03 0.9743 
8.500E-01 2.026E+02 1.631E-01 2.028E+02 2.923E-03 2.853E-03 0.9759 
9.000E-01 1.957E+02 1.552E-01 1.958E+02 3.174E-03 3.102E-03 0.9773 
9.500E-01 1.892E+02 1.480E-01 1.894E+02 3.434E-03 3.361E-03 0.9786 
1.000E+00 1.832E+02 1.416E-01 1.834E+02 3.702E-03 3.627E-03 0.9798 
1.250E+00 1.589E+02 1.165E-01 1.590E+02 5.171E-03 5.088E-03 0.9840 
1.500E+00 1.409E+02 9.923E-02 1.410E+02 6.844E-03 6.753E-03 0.9867 
1.750E+00 1.270E+02 8.658E-02 1.271E+02 8.714E-03 8.614E-03 0.9886 
2.000E+00 1.160E+02 7.691E-02 1.160E+02 1.077E-02 1.067E-02 0.9899 
2.250E+00 1.069E+02 6.926E-02 1.069E+02 1.302E-02 1.290E-02 0.9909 
2.500E+00 9.926E+01 6.304E-02 9.933E+01 1.545E-02 1.532E-02 0.9917 
2.750E+00 9.279E+01 5.789E-02 9.285E+01 1.805E-02 1.791E-02 0.9923 
3.000E+00 8.720E+01 5.355E-02 8.726E+01 2.083E-02 2.068E-02 0.9928 
3.500E+00 7.803E+01 4.662E-02 7.807E+01 2.690E-02 2.673E-02 0.9935 
4.000E+00 7.078E+01 4.133E-02 7.082E+01 3.364E-02 3.344E-02 0.9941 
4.500E+00 6.490E+01 3.715E-02 6.494E+01 4.102E-02 4.079E-02 0.9945 
5.000E+00 6.002E+01 3.376E-02 6.005E+01 4.903E-02 4.878E-02 0.9948 
5.500E+00 5.590E+01 3.096E-02 5.593E+01 5.766E-02 5.738E-02 0.9951 
6.000E+00 5.236E+01 2.860E-02 5.238E+01 6.691E-02 6.659E-02 0.9953 
6.500E+00 4.928E+01 2.658E-02 4.931E+01 7.675E-02 7.640E-02 0.9954 
7.000E+00 4.658E+01 2.484E-02 4.661E+01 8.718E-02 8.680E-02 0.9956 
7.500E+00 4.419E+01 2.332E-02 4.422E+01 9.820E-02 9.778E-02 0.9957 
8.000E+00 4.206E+01 2.198E-02 4.208E+01 1.098E-01 1.093E-01 0.9958 
8.500E+00 4.015E+01 2.079E-02 4.017E+01 1.220E-01 1.215E-01 0.9959 
9.000E+00 3.842E+01 1.973E-02 3.844E+01 1.347E-01 1.342E-01 0.9960 
9.500E+00 3.684E+01 1.877E-02 3.686E+01 1.480E-01 1.474E-01 0.9961 
1.000E+01 3.541E+01 1.790E-02 3.543E+01 1.618E-01 1.612E-01 0.9962 
1.250E+01 2.976E+01 1.457E-02 2.977E+01 2.391E-01 2.383E-01 0.9964 
1.500E+01 2.579E+01 1.230E-02 2.580E+01 3.296E-01 3.285E-01 0.9966 
1.750E+01 2.284E+01 1.066E-02 2.285E+01 4.328E-01 4.313E-01 0.9967 
2.000E+01 2.055E+01 9.410E-03 2.056E+01 5.483E-01 5.465E-01 0.9968 
2.500E+01 1.722E+01 7.638E-03 1.723E+01 8.151E-01 8.127E-01 0.9970 
2.750E+01 1.597E+01 6.986E-03 1.598E+01 9.659E-01 9.631E-01 0.9970 
3.000E+01 1.491E+01 6.438E-03 1.491E+01 1.128E+00 1.125E+00 0.9971 
3.500E+01 1.320E+01 5.570E-03 1.320E+01 1.485E+00 1.481E+00 0.9972 
