PSTAR: Stopping Powers and Range Tables for Protons

CALCIUM FLUORIDE                                                        

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

2.750E-01 3.640E+02 3.926E-01 3.644E+02 
3.000E-01 3.487E+02 3.654E-01 3.491E+02 
3.500E-01 3.229E+02 3.216E-01 3.233E+02 
4.000E-01 3.017E+02 2.877E-01 3.020E+02 
4.500E-01 2.835E+02 2.607E-01 2.837E+02 
5.000E-01 2.675E+02 2.386E-01 2.678E+02 
5.500E-01 2.534E+02 2.202E-01 2.536E+02 
6.000E-01 2.409E+02 2.046E-01 2.411E+02 
6.500E-01 2.298E+02 1.912E-01 2.300E+02 
7.000E-01 2.199E+02 1.795E-01 2.201E+02 
7.500E-01 2.108E+02 1.693E-01 2.110E+02 
8.000E-01 2.025E+02 1.602E-01 2.027E+02 
8.500E-01 1.948E+02 1.521E-01 1.950E+02 
9.000E-01 1.877E+02 1.448E-01 1.879E+02 
9.500E-01 1.813E+02 1.383E-01 1.814E+02 
1.000E+00 1.755E+02 1.323E-01 1.756E+02 
1.250E+00 1.516E+02 1.091E-01 1.517E+02 
1.500E+00 1.344E+02 9.308E-02 1.345E+02 
1.750E+00 1.211E+02 8.136E-02 1.212E+02 
2.000E+00 1.106E+02 7.238E-02 1.107E+02 
2.250E+00 1.019E+02 6.525E-02 1.020E+02 
2.500E+00 9.471E+01 5.945E-02 9.477E+01 
2.750E+00 8.858E+01 5.464E-02 8.863E+01 
3.000E+00 8.329E+01 5.058E-02 8.334E+01 
3.500E+00 7.460E+01 4.410E-02 7.464E+01 
4.000E+00 6.773E+01 3.914E-02 6.777E+01 
4.500E+00 6.215E+01 3.522E-02 6.218E+01 
5.000E+00 5.751E+01 3.204E-02 5.754E+01 
5.500E+00 5.358E+01 2.941E-02 5.361E+01 
6.000E+00 5.022E+01 2.719E-02 5.025E+01 
6.500E+00 4.729E+01 2.529E-02 4.732E+01 
7.000E+00 4.473E+01 2.365E-02 4.475E+01 
7.500E+00 4.245E+01 2.222E-02 4.248E+01 
8.000E+00 4.042E+01 2.096E-02 4.044E+01 
8.500E+00 3.860E+01 1.983E-02 3.862E+01 
9.000E+00 3.695E+01 1.883E-02 3.696E+01 
9.500E+00 3.544E+01 1.792E-02 3.546E+01 
1.000E+01 3.408E+01 1.710E-02 3.409E+01 
1.250E+01 2.868E+01 1.395E-02 2.869E+01 
1.500E+01 2.488E+01 1.180E-02 2.489E+01 
1.750E+01 2.205E+01 1.024E-02 2.206E+01 
2.000E+01 1.986E+01 9.048E-03 1.987E+01 
2.500E+01 1.666E+01 7.358E-03 1.667E+01 
2.750E+01 1.546E+01 6.735E-03 1.547E+01 
3.000E+01 1.444E+01 6.211E-03 1.444E+01 
3.500E+01 1.279E+01 5.380E-03 1.280E+01 
4.000E+01 1.152E+01 4.749E-03 1.153E+01 
4.500E+01 1.051E+01 4.254E-03 1.051E+01 
