# proton-in-Al nuclear stopping (ZBL/NIST)
# E/amu[MeV]   Sn[1e-15 eV cm^2/atom]
2.999999999999999737e-04 4.951222986452380459e-01
3.442160082692392420e-04 4.969909518037500251e-01
3.949488678293627342e-04 4.973421159952620685e-01
4.531590758489284997e-04 4.961140474144913326e-01
5.199486939989845851e-04 4.932611302863594838e-01
5.965822131771151898e-04 4.887568457744807526e-01
6.845104934141821697e-04 4.825964463695209261e-01
7.853982322047903123e-04 4.747991103463557461e-01
9.011554813041653062e-04 4.654093560356666881e-01
1.033973808681549122e-03 4.544975276579802381e-01
1.186367790264348122e-03 4.421592231730775979e-01
1.361222617013305939e-03 4.285136150330785543e-01
1.561848718647089766e-03 4.137007074432184628e-01
1.792044438177090764e-03 3.978776663342617481e-01
2.056167943834695967e-03 3.812144377933463502e-01
2.359219739859827122e-03 3.638889263365804316e-01
2.706937338281805317e-03 3.460820295177197692e-01
3.105903884061073181e-03 3.279728186302328652e-01
3.563672790131427667e-03 3.097341204349556842e-01
4.088910741989136219e-03 2.915286994738950921e-01
4.691561779255705444e-03 2.735061740309840950e-01
5.383035560679759989e-03 2.558007305257662956e-01
6.176423376895175121e-03 2.385296388412918578e-01
7.086746000585564254e-03 2.217925201055411522e-01
8.131238066465184752e-03 2.056712814291189462e-01
9.329674365085107585e-03 1.902306093813141141e-01
1.070474422800480642e-02 1.755189041716258558e-01
1.228248109235663410e-02 1.615695371773424038e-01
1.409275537751134011e-02 1.484023227992418426e-01
1.616984000520601747e-02 1.360251088842863998e-01
1.855305926981421633e-02 1.244354057389259888e-01
2.128753334346017087e-02 1.136219901899125501e-01
2.442503251128061784e-02 1.035664368862627832e-01
2.802495730959799966e-02 9.424454321724314021e-02
3.215546312341886065e-02 8.562762638778821656e-02
3.689475053463982940e-02 7.696164833847274345e-02
4.233254585041032469e-02 6.974277104736008315e-02
4.857179984167590142e-02 6.310857946386709549e-02
5.573063685318046384e-02 5.702797790196947880e-02
6.394459118634769623e-02 5.146821181871801681e-02
7.336917309524325359e-02 4.639580708284383320e-02
8.418281297619820136e-02 4.177729530923927903e-02
9.659023949180950419e-02 3.757976472241070232e-02
1.108263555854681753e-01 3.377126940361712543e-02
1.271606857688571679e-01 3.032112421460855453e-02
1.459024788804500483e-01 2.720010801583780044e-02
1.674065629227182439e-01 2.438059387268657827e-02
1.920800628244374308e-01 2.183662165390506948e-02
2.203901083117750792e-01 1.954392567372695982e-02
2.528726778170146683e-01 1.747992772941229719e-02
2.901427458617538702e-01 1.562370396831738728e-02
3.329059260293636968e-01 1.395593242279321959e-02
3.819718299566738917e-01 1.245882672622062627e-02
4.382693952632757406e-01 1.111606042606609786e-02
5.028644726136605181e-01 9.912685403381225197e-03
5.769800048783004787e-01 8.835047161722807407e-03
6.620191804345824105e-01 7.870699135884224110e-03
7.595919989562163188e-01 7.008317670031844263e-03
8.715457526465361093e-01 6.237618907218569694e-03
1.000000000000000000e+00 5.549278502128481526e-03
