21945226.91587967, 534650743.9146084
36417890.97365419, 885866790.4100796
54899724.409913935, 1344791547.5548902
82041363.53775387, 2014158146.5607011
118392694.60894848, 2820281104.2559867
167892619.6686649, 4139606539.31531
264393221.20728707, 6412354795.576917
374935891.7604475, 9223851039.358496
491507002.0737241, 12156129601.854181
580216923.4414296, 14287977585.352934
644321171.6893953, 15078653904.38795
703119393.9355195, 15283067326.58775
801528722.5012877, 14287977585.352934
954492323.5374004, 12572313579.362148
1146617214.4226813, 10342365531.743332
1490041906.7995765, 7436096708.208817
1970442849.862131, 5274997063.702609
2560612542.9805613, 3642533115.449638
3269930775.888666, 2515271067.8163157
4517178544.052344, 1487697454.3766341
5870124088.903394, 993289908.9283755
7051691422.922298, 733663774.859999
8620345099.368765, 503215935.9259978
